hybrid_report_section,hybrid_section_confidence,hybrid_obligation_type,hybrid_mandatory,hybrid_generation_bucket,hybrid_evidence_tags,hybrid_banking_relevance,hybrid_split_ok,hybrid_classification_confidence,hybrid_needs_review,hybrid_reason,requirement_id,hybrid_error
Metrics and Targets,0.86,mandatory,True,must_disclose_leaf,"[""metrics""]",general,True,0.9,False,"Appendix B metrics disclosure requirement: when redefining/replacing a metric, entity shall explain reasons and why new metric is more useful.",IFRS_S1_B52_C03,
Metrics and Targets,0.86,mandatory,True,must_disclose_leaf,"[""metrics""]",general,True,0.9,False,Appendix B under Metrics; clear mandatory disclosure of comparative amount for new metric with impracticability exception; leaf requirement.,IFRS_S1_B53_C01,
Metrics and Targets,0.86,mandatory,True,must_disclose_leaf,"[""metrics""]",general,True,0.84,False,Appendix B under Metrics; contains a clear mandatory disclosure ('shall disclose that fact') when comparative amounts cannot be revised due to impracticability.,IFRS_S1_B54_C01,
General Requirements,0.74,context_objective,True,supporting_guidance_leaf,"[""materiality""]",general,True,0.72,False,Appendix B cross-references paragraph 83 and restates a requirement about correcting material prior period errors; treated as supporting guidance rather than a standalone disclosure requirement.,IFRS_S1_B55_C01,
General Requirements,0.74,mandatory,True,must_disclose_leaf,"[""materiality""]",general,True,0.86,False,Appendix B 'Errors' requirement: mandatory disclosure of the nature of a material prior-period sustainability disclosure error; clause marker (a) is a valid list item.,IFRS_S1_B58_C01,
General Requirements,0.86,mandatory,True,must_disclose_leaf,"[""materiality""]",general,True,0.9,False,Appendix B 'Errors' requirement mandates disclosure of practicable corrections for each prior period disclosed; aligns with General Requirements mapping and is a leaf obligation.,IFRS_S1_B58_C02,
General Requirements,0.86,mandatory,True,must_disclose_leaf,"[""materiality""]",general,True,0.9,False,Appendix B 'Errors' requirement with clear shall-disclose obligation about impracticable correction circumstances and how/from when corrected; aligns with General Requirements mapping.,IFRS_S1_B58_C03,
General Requirements,0.74,mandatory,True,must_disclose_leaf,[],general,True,0.86,True,Appendix B 'Errors' text is about restating comparative information (accounting treatment) rather than sustainability disclosures; may be out of scope for report-generation KB.,IFRS_S1_B59_C01,
General Requirements,0.86,mandatory,True,must_disclose_leaf,[],general,True,0.86,False,Appendix B guidance tied to identifying sustainability-related risks/opportunities and explicitly requires applying sources-of-guidance requirements (paras 54–55); fits General Requirements and is a leaf mandatory clause.,IFRS_S1_B7_C01,
General Requirements,0.74,mandatory,True,must_disclose_leaf,[],general,True,0.78,False,Appendix C ‘Sources of guidance’ sets a mandatory requirement for applying judgement to identify relevant information when no specific IFRS SDS applies; aligns with General Requirements.,IFRS_S1_C1_C01,
General Requirements,0.86,mandatory,True,must_disclose_leaf,[],general,True,0.86,False,Appendix C guidance source; clause (b) is a mandatory criterion for information identified using judgement when no specific IFRS SDS applies; fits General Requirements.,IFRS_S1_C1_C02,
General Requirements,0.86,prohibition,True,must_disclose_leaf,"[""materiality""]",general,True,0.84,False,Appendix C guidance on applying sources of guidance includes explicit prohibitions on obscuring material information and on making an unreserved compliance statement when not applying IFRS SDS requirements.,IFRS_S1_C3_C01,
General Requirements,0.86,mandatory,True,must_disclose_leaf,"[""materiality""]",general,True,0.86,False,Appendix D under Materiality; uses 'shall be neutral' establishing a mandatory qualitative characteristic for sustainability-related financial information.,IFRS_S1_D12_C01,
General Requirements,0.86,mandatory,True,must_disclose_leaf,"[""materiality""]",general,True,0.84,False,"Appendix D under Materiality/qualitative characteristics; clause (a) is a specific mandatory accuracy criterion (factual information free from material error), appropriately treated as a leaf disclosure requirement.",IFRS_S1_D15_C01,
General Requirements,0.86,mandatory,True,must_disclose_leaf,"[""materiality""]",general,True,0.84,False,"Appendix D Materiality/qualitative characteristics; clause (b) is a mandatory accuracy criterion (descriptions are precise), appropriately treated as a leaf disclosure-quality requirement.",IFRS_S1_D15_C02,
General Requirements,0.86,mandatory,True,must_disclose_leaf,"[""materiality""]",general,True,0.84,False,Appendix D materiality/qualitative characteristics; clause (c) is a mandatory accuracy requirement that estimates/approximations/forecasts be clearly identified.,IFRS_S1_D15_C03,
General Requirements,0.86,mandatory,True,must_disclose_leaf,"[""materiality""]",general,True,0.84,False,"Appendix D under Materiality; clause (d) is a specific mandatory accuracy criterion for sustainability-related financial information, fitting General Requirements.",IFRS_S1_D15_C04,
General Requirements,0.86,mandatory,True,must_disclose_leaf,"[""materiality""]",general,True,0.84,False,"Appendix D materiality/qualitative characteristics; clause (e) is a specific mandatory accuracy criterion for estimates, fitting General Requirements and suitable as a leaf disclosure requirement.",IFRS_S1_D15_C05,
General Requirements,0.86,mandatory,True,must_disclose_leaf,"[""materiality""]",general,True,0.84,False,Appendix D Materiality guidance sets a mandatory accuracy characteristic; clause (f) is a specific leaf requirement about future judgements faithfully reflecting underlying information.,IFRS_S1_D15_C06,
General Requirements,0.78,mandatory,True,must_disclose_leaf,"[""materiality""]",general,True,0.86,False,Appendix D under Materiality; requirement is a clear shall-statement about comparability of sustainability-related financial disclosures.,IFRS_S1_D18_C01,
General Requirements,0.72,guidance,False,supporting_guidance_leaf,"[""materiality""]",general,True,0.74,True,"Text explains qualitative characteristic (comparability) and reads as guidance, despite 'shall' wording; also appears truncated with stray 'Verifiability', so review extraction/leaf status.",IFRS_S1_D20_C01,
General Requirements,0.74,guidance,True,supporting_guidance_leaf,"[""materiality""]",general,True,0.78,False,"Section mapping fits Materiality/General Requirements. Clause (a) is an example of how to enhance verifiability, so it is guidance rather than a standalone mandatory disclosure.",IFRS_S1_D23_C01,
General Requirements,0.78,guidance,True,supporting_guidance_leaf,"[""materiality""]",general,True,0.74,False,"Clause (b) is an example of how to enhance verifiability (“can be enhanced by, for example”), so it is guidance within General Requirements rather than a standalone mandatory disclosure.",IFRS_S1_D23_C02,
General Requirements,0.86,guidance,True,supporting_guidance_leaf,"[""governance_body"", ""materiality""]",general,True,0.78,False,"Main requirement is to enhance verifiability; clause (c) is an example of how to do so, not a standalone mandatory disclosure.",IFRS_S1_D23_C03,
General Requirements,0.74,mandatory,True,must_disclose_leaf,"[""materiality""]",general,False,0.72,True,"Appendix D materiality; contains a clear 'shall describe' disclosure. However trailing 'Timeliness' suggests a heading/marker artifact, so splitting and text cleanliness need review.",IFRS_S1_D24_C01,
General Requirements,0.86,mandatory,True,must_disclose_leaf,"[""materiality""]",general,True,0.86,False,Appendix D guidance on conciseness includes a mandatory 'shall' requirement to avoid boilerplate; aligns with General Requirements/Materiality heading and is a leaf clause (a).,IFRS_S1_D26_C01,
General Requirements,0.86,mandatory,True,must_disclose_leaf,"[""connected_information"", ""materiality""]",general,True,0.86,False,"Appendix D guidance under Materiality; clause (b) is a mandatory drafting requirement to avoid duplicating information in GPFR/financial statements, fitting General Requirements.",IFRS_S1_D26_C02,
General Requirements,0.86,mandatory,True,must_disclose_leaf,"[""materiality""]",general,True,0.87,False,"Appendix D guidance on materiality/presentation quality; clause (c) is a mandatory leaf requirement about using clear language and structure, fitting General Requirements.",IFRS_S1_D26_C03,
General Requirements,0.86,mandatory,True,must_disclose_leaf,"[""materiality""]",general,True,0.84,False,Appendix D materiality requirement uses 'shall' to require that any immaterial information included must not obscure material information; fits General Requirements and is a leaf disclosure rule.,IFRS_S1_D29_C01,
General Requirements,0.86,prohibition,True,must_disclose_leaf,"[""materiality""]",general,True,0.84,False,Appendix D materiality guidance includes a clear prohibition against excluding complex sustainability information; aligns with General Requirements and is a leaf requirement.,IFRS_S1_D30_C01,
General Requirements,0.86,mandatory,True,must_disclose_leaf,"[""connected_information"", ""materiality""]",general,True,0.84,False,Appendix D materiality guidance with clear mandatory 'shall' on presenting coherent sustainability-related financial information; section mapping aligns with heading and rule-based section.,IFRS_S1_D31_C01,
General Requirements,0.86,mandatory,True,must_disclose_leaf,"[""materiality""]",general,True,0.9,False,Appendix D materiality-related requirement using 'shall' to include necessary information when implications exist across parts of the general purpose financial reports.,IFRS_S1_D32_C01,
General Requirements,0.86,mandatory,True,must_disclose_leaf,"[""connected_information"", ""materiality""]",general,True,0.84,False,Appendix D materiality/coherence requirement to present sustainability information so users can relate it to financial statements; fits General Requirements and is phrased as a requirement.,IFRS_S1_D33_C01,
Strategy,0.86,guidance,False,supporting_guidance_leaf,"[""scenario_analysis""]",medium,True,0.78,False,Appendix B paragraph B1 explains and signposts guidance (B2–B18) for scenario analysis under Strategy/climate resilience; it is not itself a standalone disclosure requirement.,IFRS_S2_B1_C01,
Strategy,0.86,guidance,True,supporting_guidance_leaf,"[""scenario_analysis""]",medium,True,0.78,False,"Appendix B1 is explanatory, pointing to B8–B15 guidance on factors to consider for scenario analysis approach; it supports Strategy climate resilience rather than adding a standalone disclosure requirement.",IFRS_S2_B1_C02,
Strategy,0.86,guidance,False,supporting_guidance_leaf,"[""scenario_analysis""]",medium,True,0.78,False,"Appendix B paragraph B1(c) describes guidance (additional factors to consider over time) supporting Strategy climate resilience scenario analysis, rather than a standalone disclosure requirement.",IFRS_S2_B1_C03,
Strategy,0.86,mandatory,True,must_disclose_leaf,"[""scenario_analysis""]",medium,True,0.84,False,Appendix B guidance on selecting inputs for climate-related scenario analysis; contains a clear 'shall consider' requirement aligned to Strategy and is a leaf obligation.,IFRS_S2_B11_C01,
Strategy,0.86,mandatory,True,must_disclose_leaf,"[""scenario_analysis""]",medium,True,0.82,False,Appendix B guidance on selecting scenario analysis inputs; includes a clear mandatory clause ('shall have a reasonable and supportable basis') aligned to Strategy/scenario analysis.,IFRS_S2_B12_C01,
Strategy,0.86,mandatory,True,must_disclose_leaf,"[""business_model_value_chain"", ""scenario_analysis""]",medium,True,0.82,False,Appendix B guidance uses 'shall' on selecting scenario-analysis inputs aligned to Strategy objective (para 22) and relevance to entity circumstances; fits Strategy section and is a leaf requirement.,IFRS_S2_B13_C01,
Strategy,0.78,mandatory,True,must_disclose_leaf,"[""scenario_analysis""]",medium,True,0.74,True,"Appendix B text contains a mandatory 'shall' about prioritising analytical choices for scenario analysis, but it reads more like methodological guidance than a disclosure requirement.",IFRS_S2_B14_C01,
Strategy,0.74,mandatory,True,must_disclose_leaf,"[""scenario_analysis""]",medium,True,0.72,True,Appendix B guidance mixes optional language with one mandatory clause (“is required to apply”). Leaf/mandatory tagging is plausible but may be interpretive rather than a disclosure requirement.,IFRS_S2_B17_C01,
Strategy,0.86,mandatory,True,must_disclose_leaf,"[""business_model_value_chain"", ""scenario_analysis""]",medium,False,0.78,True,"Appendix B text contains mandatory update requirements, but ends with an unrelated fragment (“Permission to use information…”), suggesting extraction/merge error; keep Strategy but flag for cleanup.",IFRS_S2_B18_C01,
Strategy,0.86,mandatory,True,must_disclose_leaf,"[""scenario_analysis""]",medium,True,0.84,False,Appendix B guidance on scenario analysis approach; clause (a) is a specific mandatory consideration (exposure to climate-related risks/opportunities) aligned with Strategy.,IFRS_S2_B2_C01,
Strategy,0.74,mandatory,True,must_disclose_leaf,"[""scenario_analysis""]",medium,True,0.78,False,Appendix B guidance on scenario analysis approach and assessing circumstances; aligns with Strategy and is a leaf mandatory requirement with valid list marker (b).,IFRS_S2_B2_C02,
Metrics and Targets,0.93,mandatory,True,must_disclose_leaf,"[""ghg_emissions"", ""metrics""]",medium,True,0.9,False,Appendix B guidance under Greenhouse gas emissions specifies a mandatory method (shall aggregate gases into CO2e) supporting the required GHG emissions metric disclosure.,IFRS_S2_B20_C01,
