requirement_id,standard,paragraph_id,paragraph_ref,source_pdf,source_pages,report_section,topic,mandatory_status,banking_relevance,evidence_tags,subclause_markers,requirement_label,paragraph_text
IFRS_S1.13,IFRS S1,13,IFRS S1 13,gen_data\IFRS\ifrs_s1.pdf,8,General Requirements,"Objective, scope, conceptual foundations, materiality, reporting entity, connected information",mandatory,general,[],[],"Fair presentation requires disclosure of relevant information about sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects, and their faithful representation in accordance with the principles set out in this Standard.","Fair presentation requires disclosure of relevant information about sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects, and their faithful representation in accordance with the principles set out in this Standard. To achieve faithful representation, an entity shall provide a complete, neutral and accurate depiction of those sustainability-related risks and opportunities."
IFRS_S1.14,IFRS S1,14,IFRS S1 14,gen_data\IFRS\ifrs_s1.pdf,8,General Requirements,"Objective, scope, conceptual foundations, materiality, reporting entity, connected information",context_or_guidance,general,['materiality'],[],"Materiality is an entity-specific aspect of relevance based on the nature or magnitude, or both, of the items to which the information relates, in the context of the entity’s sustainability-related financial disclosures.","Materiality is an entity-specific aspect of relevance based on the nature or magnitude, or both, of the items to which the information relates, in the context of the entity’s sustainability-related financial disclosures."
IFRS_S1.15,IFRS S1,15,IFRS S1 15,gen_data\IFRS\ifrs_s1.pdf,8-9,General Requirements,"Objective, scope, conceptual foundations, materiality, reporting entity, connected information",context_or_guidance,general,"['compliance', 'financial_effects']","['(a)', '(b)']","Fair presentation also requires an entity: (a) to disclose information that is comparable, verifiable, timely and understandable; and (b) to disclose additional information if compliance with the specifically applicable requirements in IFRS Sustainability Disclosure Standards is...","Fair presentation also requires an entity: (a) to disclose information that is comparable, verifiable, timely and understandable; and (b) to disclose additional information if compliance with the specifically applicable requirements in IFRS Sustainability Disclosure Standards is insufficient to enable users of general purpose financial reports to understand the effects of sustainability-related risks and opportunities on the entity’s cash flows, its access to finance and cost of capital over the short, medium and long term."
IFRS_S1.16,IFRS S1,16,IFRS S1 16,gen_data\IFRS\ifrs_s1.pdf,9,General Requirements,"Objective, scope, conceptual foundations, materiality, reporting entity, connected information",context_or_guidance,general,['materiality'],[],"Applying IFRS Sustainability Disclosure Standards, with additional information disclosed when necessary (see paragraph 15(b)), is presumed to result in sustainability-related financial disclosures that achieve fair presentation. Materiality","Applying IFRS Sustainability Disclosure Standards, with additional information disclosed when necessary (see paragraph 15(b)), is presumed to result in sustainability-related financial disclosures that achieve fair presentation. Materiality"
IFRS_S1.17,IFRS S1,17,IFRS S1 17,gen_data\IFRS\ifrs_s1.pdf,9,General Requirements,"Objective, scope, conceptual foundations, materiality, reporting entity, connected information",mandatory,general,['materiality'],[],An entity shall disclose material information about the sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects.,An entity shall disclose material information about the sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects.
IFRS_S1.18,IFRS S1,18,IFRS S1 18,gen_data\IFRS\ifrs_s1.pdf,9,General Requirements,"Objective, scope, conceptual foundations, materiality, reporting entity, connected information",context_or_guidance,general,['materiality'],[],"In the context of sustainability-related financial disclosures, information is material if omitting, misstating or obscuring that information could reasonably be expected to influence decisions that primary users of general purpose financial reports make on the basis of those rep...","In the context of sustainability-related financial disclosures, information is material if omitting, misstating or obscuring that information could reasonably be expected to influence decisions that primary users of general purpose financial reports make on the basis of those reports, which include financial statements and sustainability-related financial disclosures and which provide information about a specific reporting entity."
IFRS_S1.19,IFRS S1,19,IFRS S1 19,gen_data\IFRS\ifrs_s1.pdf,9,General Requirements,"Objective, scope, conceptual foundations, materiality, reporting entity, connected information",mandatory,general,"['materiality', 'risk_process']",[],"To identify and disclose material information, an entity shall apply paragraphs B13–B37. Reporting entity","To identify and disclose material information, an entity shall apply paragraphs B13–B37. Reporting entity"
IFRS_S1.20,IFRS S1,20,IFRS S1 20,gen_data\IFRS\ifrs_s1.pdf,9,General Requirements,"Objective, scope, conceptual foundations, materiality, reporting entity, connected information",mandatory,general,[],[],An entity’s sustainability-related financial disclosures shall be for the same reporting entity as the related financial statements (see paragraph B38). Connected information,An entity’s sustainability-related financial disclosures shall be for the same reporting entity as the related financial statements (see paragraph B38). Connected information
IFRS_S1.21,IFRS S1,21,IFRS S1 21,gen_data\IFRS\ifrs_s1.pdf,9,General Requirements,"Objective, scope, conceptual foundations, materiality, reporting entity, connected information",mandatory,general,"['metrics', 'risk_process', 'strategy', 'targets']","['(a)', '(b)', '(i)', '(ii)']",An entity shall provide information in a manner that enables users of general purpose financial reports to understand the following types of connections:,"An entity shall provide information in a manner that enables users of general purpose financial reports to understand the following types of connections: (a) the connections between the items to which the information relates —such as connections between various sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects; and (b) the connections between disclosures provided by the entity: (i) within its sustainability-related financial disclosures—such as connections between disclosures on governance, strategy, risk management and metrics and targets; and (ii) across its sustainability-related financial disclosures and other general purpose financial reports published by the entity —such as its related financial statements (see paragraphs B39–B44)."
IFRS_S1.22,IFRS S1,22,IFRS S1 22,gen_data\IFRS\ifrs_s1.pdf,9,General Requirements,"Objective, scope, conceptual foundations, materiality, reporting entity, connected information",mandatory,general,['risk_process'],[],An entity shall identify the financial statements to which the sustainability-related financial disclosures relate.,An entity shall identify the financial statements to which the sustainability-related financial disclosures relate.
IFRS_S1.23,IFRS S1,23,IFRS S1 23,gen_data\IFRS\ifrs_s1.pdf,10,General Requirements,"Objective, scope, conceptual foundations, materiality, reporting entity, connected information",mandatory,general,['methodology'],[],Data and assumptions used in preparing the sustainability-related financial disclosures shall be consistent—to the extent possible considering the requirements of IFRS Accounting Standards or other applicable GAAP— with the corresponding data and assumptions used in preparing the...,Data and assumptions used in preparing the sustainability-related financial disclosures shall be consistent—to the extent possible considering the requirements of IFRS Accounting Standards or other applicable GAAP— with the corresponding data and assumptions used in preparing the related financial statements (see paragraph B42).
IFRS_S1.24,IFRS S1,24,IFRS S1 24,gen_data\IFRS\ifrs_s1.pdf,10,General Requirements,"Objective, scope, conceptual foundations, materiality, reporting entity, connected information",mandatory,general,[],[],"When currency is specified as the unit of measure in the sustainability-related financial disclosures, the entity shall use the presentation currency of its related financial statements.","When currency is specified as the unit of measure in the sustainability-related financial disclosures, the entity shall use the presentation currency of its related financial statements."
IFRS_S1.25,IFRS S1,25,IFRS S1 25,gen_data\IFRS\ifrs_s1.pdf,10,General Requirements,Core content categories,mandatory,general,"['metrics', 'risk_process', 'strategy', 'targets']","['(a)', '(b)', '(c)', '(d)']","Unless another IFRS Sustainability Disclosure Standard permits or requires otherwise in specified circumstances, an entity shall provide disclosures about:","Unless another IFRS Sustainability Disclosure Standard permits or requires otherwise in specified circumstances, an entity shall provide disclosures about: (a) governance—the governance processes, controls and procedures the entity uses to monitor and manage sustainability-related risks and opportunities (see paragraphs 26–27); (b) strategy—the approach the entity uses to manage sustainability-related risks and opportunities (see paragraphs 28–42); (c) risk management—the processes the entity uses to identify, assess, prioritise and monitor sustainability-related risks and opportunities (see paragraphs 43–44); and (d) metrics and targets—the entity’s performance in relation to sustainability-related risks and opportunities, including progress towards any targets the entity has set or is required to meet by law or regulation (see paragraphs 45–53). Governance"
IFRS_S1.26,IFRS S1,26,IFRS S1 26,gen_data\IFRS\ifrs_s1.pdf,10,Governance,Sustainability-related governance,objective,general,['risk_process'],[],"The objective of sustainability-related financial disclosures on governance is to enable users of general purpose financial reports to understand the governance processes, controls and procedures an entity uses to monitor, manage and oversee sustainability-related risks and oppor...","The objective of sustainability-related financial disclosures on governance is to enable users of general purpose financial reports to understand the governance processes, controls and procedures an entity uses to monitor, manage and oversee sustainability-related risks and opportunities."
IFRS_S1.27,IFRS S1,27,IFRS S1 27,gen_data\IFRS\ifrs_s1.pdf,10-11,Governance,Sustainability-related governance,mandatory,general,"['governance_body', 'management_role', 'metrics', 'remuneration', 'risk_process', 'skills_competencies', 'strategy', 'targets']","['(a)', '(i)', '(ii)', '(iii)', '(iv)', '(v)', '(b)', '(i)', '(ii)']","To achieve this objective, an entity shall disclose information about: (a) the governance body(s) (which can include a board, committee or equivalent body charged with governance) or individual(s) responsible for oversight of sustainability-related risks and opportunities.","To achieve this objective, an entity shall disclose information about: (a) the governance body(s) (which can include a board, committee or equivalent body charged with governance) or individual(s) responsible for oversight of sustainability-related risks and opportunities. Specifically, the entity shall identify that body(s) or individual(s) and disclose information about: (i) how responsibilities for sustainability-related risks and opportunities are reflected in the terms of reference, mandates, role descriptions and other related policies applicable to that body(s) or individual(s); (ii) how the body(s) or individual(s) determines whether appropriate skills and competencies are available or will be developed to oversee strategies designed to respond to sustainability-related risks and opportunities; (iii) how and how often the body(s) or individual(s) is informed about sustainability-related risks and opportunities; (iv) how the body(s) or individual(s) takes into account sustainability-related risks and opportunities when overseeing the entity’s strategy, its decisions on major transactions and its risk management processes and related policies, including whether the body(s) or individual(s) has considered trade-offs associated with those risks and opportunities; and (v) how the body(s) or individual(s) oversees the setting of targets related to sustainability-related risks and opportunities, and monitors progress towards those targets (see paragraph 51), including whether and how related performance metrics are included in remuneration policies. (b) management’s role in the governance processes, controls and procedures used to monitor, manage and oversee sustainability-related risks and opportunities, including information about: (i) whether the role is delegated to a specific management-level position or management-level committee and how oversight is exercised over that position or committee; and (ii) whether management uses controls and procedures to support the oversight of sustainability-related risks and opportunities and, if so, how these controls and procedures are integrated with other internal functions. Strategy"
IFRS_S1.28,IFRS S1,28,IFRS S1 28,gen_data\IFRS\ifrs_s1.pdf,11,Strategy,Sustainability-related strategy,objective,general,['strategy'],[],The objective of sustainability-related financial disclosures on strategy is to enable users of general purpose financial reports to understand an entity’s strategy for managing sustainability-related risks and opportunities.,The objective of sustainability-related financial disclosures on strategy is to enable users of general purpose financial reports to understand an entity’s strategy for managing sustainability-related risks and opportunities.
IFRS_S1.29,IFRS S1,29,IFRS S1 29,gen_data\IFRS\ifrs_s1.pdf,11-12,Strategy,Sustainability-related strategy,mandatory,general,"['business_model', 'financial_effects', 'resilience', 'strategy', 'value_chain']","['(a)', '(b)', '(c)', '(d)', '(e)']","Specifically, an entity shall disclose information to enable users of general purpose financial reports to understand:","Specifically, an entity shall disclose information to enable users of general purpose financial reports to understand: (a) the sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects (see paragraphs 30–31); (b) the current and anticipated effects of those sustainability-related risks and opportunities on the entity’s business model and value chain (see paragraph 32); (c) the effects of those sustainability-related risks and opportunities on the entity’s strategy and decision-making (see paragraph 33); (d) the effects of those sustainability-related risks and opportunities on the entity’s financial position, financial performance and cash flows for the reporting period, and their anticipated effects on the entity’s financial position, financial performance and cash flows over the short, medium and long term, taking into consideration how those sustainability-related risks and opportunities have been factored into the entityʼs financial planning (see paragraphs 34–40); and (e) the resilience of the entity’s strategy and its business model to those sustainability-related risks (see paragraphs 41–42). Sustainability-related risks and opportunities"
IFRS_S1.30,IFRS S1,30,IFRS S1 30,gen_data\IFRS\ifrs_s1.pdf,12,Strategy,Sustainability-related strategy,mandatory,general,['strategy'],"['(a)', '(b)', '(c)']","An entity shall disclose information that enables users of general purpose financial reports to understand the sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects. Specifically, the entity shall:","An entity shall disclose information that enables users of general purpose financial reports to understand the sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects. Specifically, the entity shall: (a) describe sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects; (b) specify the time horizons—short, medium or long term—over which the effects of each of those sustainability-related risks and opportunities could reasonably be expected to occur; and (c) explain how the entity defines ‘short term’, ‘medium term’ and ‘long term’ and how these definitions are linked to the planning horizons used by the entity for strategic decision-making."
IFRS_S1.31,IFRS S1,31,IFRS S1 31,gen_data\IFRS\ifrs_s1.pdf,12,Strategy,Sustainability-related strategy,context_or_guidance,general,"['business_model', 'risk_process', 'strategy', 'value_chain']",[],"Short-, medium- and long- term time horizons can vary between entities and depend on many factors, including industry-specific characteristics, such as cash flow, investment and business cycles, the planning horizons typically used in an entity’s industry for strategic decision-m...","Short-, medium- and long- term time horizons can vary between entities and depend on many factors, including industry-specific characteristics, such as cash flow, investment and business cycles, the planning horizons typically used in an entity’s industry for strategic decision-making and capital allocation plans, and the time horizons over which users of general purpose financial reports conduct their assessments of entities in that industry. Business model and value chain"
IFRS_S1.32,IFRS S1,32,IFRS S1 32,gen_data\IFRS\ifrs_s1.pdf,12-13,Strategy,Sustainability-related strategy,mandatory,general,"['business_model', 'strategy', 'value_chain']","['(a)', '(b)']","An entity shall disclose information that enables users of general purpose financial reports to understand the current and anticipated effects of sustainability-related risks and opportunities on the entity’s business model and value chain. Specifically, the entity shall disclose:","An entity shall disclose information that enables users of general purpose financial reports to understand the current and anticipated effects of sustainability-related risks and opportunities on the entity’s business model and value chain. Specifically, the entity shall disclose: (a) a description of the current and anticipated effects of sustainability-related risks and opportunities on the entity’s business model and value chain; and (b) a description of where in the entity’s business model and value chain sustainability-related risks and opportunities are concentrated (for example, geographical areas, facilities and types of assets). Strategy and decision-making"
IFRS_S1.33,IFRS S1,33,IFRS S1 33,gen_data\IFRS\ifrs_s1.pdf,13,Strategy,Sustainability-related strategy,mandatory,general,"['financial_effects', 'strategy']","['(a)', '(b)', '(c)']","An entity shall disclose information that enables users of general purpose financial reports to understand the effects of sustainability-related risks and opportunities on its strategy and decision-making. Specifically, the entity shall disclose information about:","An entity shall disclose information that enables users of general purpose financial reports to understand the effects of sustainability-related risks and opportunities on its strategy and decision-making. Specifically, the entity shall disclose information about: (a) how the entity has responded to, and plans to respond to, sustainability-related risks and opportunities in its strategy and decision-making; (b) the progress against plans the entity has disclosed in previous reporting periods, including quantitative and qualitative information; and (c) trade-offs between sustainability-related risks and opportunities that the entity considered (for example, in making a decision on the location of new operations, an entity might have considered the environmental impacts of those operations and the employment opportunities they would create in a community). Financial position, financial performance and cash flows"
IFRS_S1.34,IFRS S1,34,IFRS S1 34,gen_data\IFRS\ifrs_s1.pdf,13,Strategy,Sustainability-related strategy,mandatory,general,['financial_effects'],"['(a)', '(b)']",An entity shall disclose information that enables users of general purpose financial reports to understand:,"An entity shall disclose information that enables users of general purpose financial reports to understand: (a) the effects of sustainability-related risks and opportunities on the entity’s financial position, financial performance and cash flows for the reporting period (current financial effects); and (b) the anticipated effects of sustainability-related risks and opportunities on the entity’s financial position, financial performance and cash flows over the short, medium and long term, taking into consideration how sustainability-related risks and opportunities are included in the entity’s financial planning (anticipated financial effects)."
IFRS_S1.35,IFRS S1,35,IFRS S1 35,gen_data\IFRS\ifrs_s1.pdf,13-14,Strategy,Sustainability-related strategy,mandatory,general,"['financial_effects', 'materiality', 'strategy']","['(a)', '(b)', '(c)', '(i)', '(ii)', '(d)']","Specifically, an entity shall disclose quantitative and qualitative information about:","Specifically, an entity shall disclose quantitative and qualitative information about: (a) how sustainability-related risks and opportunities have affected its financial position, financial performance and cash flows for the reporting period; (b) the sustainability-related risks and opportunities identified in paragraph 35(a) for which there is a significant risk of a material adjustment within the next annual reporting period to the carrying amounts of assets and liabilities reported in the related financial statements; (c) how the entity expects its financial position to change over the short, medium and long term, given its strategy to manage sustainability-related risks and opportunities, taking into consideration: (i) its investment and disposal plans (for example, plans for capital expenditure, major acquisitions and divestments, joint ventures, business transformation, innovation, new business areas, and asset retirements), including plans the entity is not contractually committed to; and (ii) its planned sources of funding to implement its strategy; and (d) how the entity expects its financial performance and cash flows to change over the short, medium and long term, given its strategy to manage sustainability-related risks and opportunities."
IFRS_S1.36,IFRS S1,36,IFRS S1 36,gen_data\IFRS\ifrs_s1.pdf,14,Strategy,Sustainability-related strategy,optional_or_relief,general,[],[],"In providing quantitative information, an entity may disclose a single amount or a range.","In providing quantitative information, an entity may disclose a single amount or a range."
IFRS_S1.37,IFRS S1,37,IFRS S1 37,gen_data\IFRS\ifrs_s1.pdf,14,Strategy,Sustainability-related strategy,mandatory,general,"['data_quality', 'skills_competencies']","['(a)', '(b)']","In preparing disclosures about the anticipated financial effects of a sustainability-related risk or opportunity, an entity shall:","In preparing disclosures about the anticipated financial effects of a sustainability-related risk or opportunity, an entity shall: (a) use all reasonable and supportable information that is available to the entity at the reporting date without undue cost or effort (see paragraphs B8–B10); and (b) use an approach that is commensurate with the skills, capabilities and resources that are available to the entity for preparing those disclosures."
IFRS_S1.38,IFRS S1,38,IFRS S1 38,gen_data\IFRS\ifrs_s1.pdf,14,Strategy,Sustainability-related strategy,optional_or_relief,general,[],"['(a)', '(b)']",An entity need not provide quantitative information about the current or anticipated financial effects of a sustainability-related risk or opportunity if the entity determines that:,An entity need not provide quantitative information about the current or anticipated financial effects of a sustainability-related risk or opportunity if the entity determines that: (a) those effects are not separately identifiable; or (b) the level of measurement uncertainty involved in estimating those effects is so high that the resulting quantitative information would not be useful (see paragraphs 77–82).
IFRS_S1.39,IFRS S1,39,IFRS S1 39,gen_data\IFRS\ifrs_s1.pdf,14,Strategy,Sustainability-related strategy,optional_or_relief,general,['skills_competencies'],[],"In addition, an entity need not provide quantitative information about the anticipated financial effects of a sustainability-related risk or opportunity if the entity does not have the skills, capabilities or resources to provide that quantitative information.","In addition, an entity need not provide quantitative information about the anticipated financial effects of a sustainability-related risk or opportunity if the entity does not have the skills, capabilities or resources to provide that quantitative information."
IFRS_S1.40,IFRS S1,40,IFRS S1 40,gen_data\IFRS\ifrs_s1.pdf,14-15,Strategy,Sustainability-related strategy,conditional_or_relief_with_mandatory_conditions,general,"['resilience', 'risk_process']","['(a)', '(b)', '(c)']","If an entity determines that it need not provide quantitative information about the current or anticipated financial effects of a sustainability-related risk or opportunity applying the criteria set out in paragraphs 38–39, the entity shall:","If an entity determines that it need not provide quantitative information about the current or anticipated financial effects of a sustainability-related risk or opportunity applying the criteria set out in paragraphs 38–39, the entity shall: (a) explain why it has not provided quantitative information; (b) provide qualitative information about those financial effects, including identifying line items, totals and subtotals within the related financial statements that are likely to be affected, or have been affected, by that sustainability-related risk or opportunity; and (c) provide quantitative information about the combined financial effects of that sustainability-related risk or opportunity with other sustainability-related risks or opportunities and other factors unless the entity determines that quantitative information about the combined financial effects would not be useful. Resilience"
IFRS_S1.41,IFRS S1,41,IFRS S1 41,gen_data\IFRS\ifrs_s1.pdf,15,Strategy,Sustainability-related strategy,conditional_or_relief_with_mandatory_conditions,general,"['business_model', 'resilience', 'risk_process', 'strategy']",[],An entity shall disclose information that enables users of general purpose financial reports to understand its capacity to adjust to the uncertainties arising from sustainability-related risks.,"An entity shall disclose information that enables users of general purpose financial reports to understand its capacity to adjust to the uncertainties arising from sustainability-related risks. An entity shall disclose a qualitative and, if applicable, quantitative assessment of the resilience of its strategy and business model in relation to its sustainability-related risks, including information about how the assessment was carried out and its time horizon. When providing quantitative information, an entity may disclose a single amount or a range."
IFRS_S1.42,IFRS S1,42,IFRS S1 42,gen_data\IFRS\ifrs_s1.pdf,15,Strategy,Sustainability-related strategy,conditional_or_relief_with_mandatory_conditions,general,"['resilience', 'risk_process']",[],"Other IFRS Sustainability Disclosure Standards may specify the type of information an entity is required to disclose about its resilience to specific sustainability-related risks and how to prepare those disclosures, including whether a scenario analysis is required.","Other IFRS Sustainability Disclosure Standards may specify the type of information an entity is required to disclose about its resilience to specific sustainability-related risks and how to prepare those disclosures, including whether a scenario analysis is required. Risk management"
IFRS_S1.43,IFRS S1,43,IFRS S1 43,gen_data\IFRS\ifrs_s1.pdf,15,Risk Management,Sustainability-related risk management,objective,general,['risk_process'],"['(a)', '(b)']",The objective of sustainability-related financial disclosures on risk management is to enable users of general purpose financial reports:,"The objective of sustainability-related financial disclosures on risk management is to enable users of general purpose financial reports: (a) to understand an entity’s processes to identify, assess, prioritise and monitor sustainability-related risks and opportunities, including whether and how those processes are integrated into and inform the entity’s overall risk management process; and (b) to assess the entity’s overall risk profile and its overall risk management process."
IFRS_S1.44,IFRS S1,44,IFRS S1 44,gen_data\IFRS\ifrs_s1.pdf,15-16,Risk Management,Sustainability-related risk management,mandatory,general,"['methodology', 'metrics', 'resilience', 'risk_process', 'targets']","['(a)', '(i)', '(ii)', '(iii)', '(iv)', '(v)', '(vi)', '(b)', '(c)']","To achieve this objective, an entity shall disclose information about: (a) the processes and related policies the entity uses to identify, assess, prioritise and monitor sustainability-related risks, including information about: (i) the inputs and parameters the entity uses (for...","To achieve this objective, an entity shall disclose information about: (a) the processes and related policies the entity uses to identify, assess, prioritise and monitor sustainability-related risks, including information about: (i) the inputs and parameters the entity uses (for example, information about data sources and the scope of operations covered in the processes); (ii) whether and how the entity uses scenario analysis to inform its identification of sustainability-related risks; (iii) how the entity assesses the nature, likelihood and magnitude of the effects of those risks (for example, whether the entity considers qualitative factors, quantitative thresholds or other criteria); (iv) whether and how the entity prioritises sustainability-related risks relative to other types of risk; (v) how the entity monitors sustainability-related risks; and (vi) whether and how the entity has changed the processes it uses compared with the previous reporting period; (b) the processes the entity uses to identify, assess, prioritise and monitor sustainability-related opportunities; and (c) the extent to which, and how, the processes for identifying, assessing, prioritising and monitoring sustainability-related risks and opportunities are integrated into and inform the entity’s overall risk management process. Metrics and targets"
IFRS_S1.45,IFRS S1,45,IFRS S1 45,gen_data\IFRS\ifrs_s1.pdf,16,Metrics and Targets,Sustainability-related metrics and targets,mandatory,general,"['metrics', 'targets']",[],"The objective of sustainability-related financial disclosures on metrics and targets is to enable users of general purpose financial reports to understand an entity’s performance in relation to its sustainability-related risks and opportunities, including progress towards any tar...","The objective of sustainability-related financial disclosures on metrics and targets is to enable users of general purpose financial reports to understand an entity’s performance in relation to its sustainability-related risks and opportunities, including progress towards any targets the entity has set, and any targets it is required to meet by law or regulation."
