risk_id,bank_id,reporting_year,risk_name,risk_category,risk_description,time_horizon,likelihood_score,severity_score,risk_rating,financial_impact_meur,mitigation_actions,erm_integrated_flag,scenario_analysis_link,monitoring_frequency,changed_since_prior_period,ifrs_s2_para_evidence
RISK-BANK03-2023-0003,BANK03,2023,Physical risk — mortgage book flood exposure,physical_acute,Residential and commercial mortgage collateral located in flood-prone zones faces rising acute physical risk. Property damage and devaluation could impair collateral coverage.,short_0_2yr,4,4,critical,135.0,"Collateral revaluation, flood-zone mapping overlay and updated mortgage underwriting criteria",True,SCN0042,quarterly,True,§25(a)
RISK-BANK03-2023-0004,BANK03,2023,Transition risk — carbon pricing on industrial loans,transition_policy,"Tightening EU ETS and national carbon pricing raise operating costs for carbon-intensive borrowers, increasing default probability in cement, steel and chemicals.",short_0_2yr,3,4,high,61.8,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",True,SCN0048,semi_annual,False,§25(a)
RISK-BANK03-2023-0005,BANK03,2023,Stranded assets — fossil fuel sector exposure,transition_market,"Demand shifts away from fossil fuels risk stranding reserves and assets held by oil, gas and coal counterparties, reducing their enterprise value.",medium_2_5yr,4,5,critical,398.6,"Sector exposure limits, enhanced due diligence and portfolio decarbonisation glide-path monitoring",True,,monthly,False,§25(a)
RISK-BANK03-2023-0006,BANK03,2023,Transition risk — EV shift in auto lending,transition_technology,Rapid electrification could strand internal-combustion vehicle manufacturers and suppliers in the lending book.,long_5yr_plus,4,3,high,13.1,"Technology transition monitoring, sector concentration limits and client transition-plan engagement",False,,semi_annual,True,§25(a)
RISK-BANK03-2023-0007,BANK03,2023,Reputational risk — financed emissions scrutiny,transition_reputational,Stakeholder and NGO scrutiny of financed emissions and fossil financing could damage brand and trigger client attrition.,medium_2_5yr,3,3,high,88.9,Enhanced financed-emissions disclosure controls and client engagement on transition plans,True,,semi_annual,True,§25(a)
RISK-BANK03-2023-0008,BANK03,2023,Physical risk — heat stress on agricultural borrowers,physical_chronic,"Chronic heat and shifting precipitation reduce yields for agricultural counterparties, weakening repayment capacity over the medium term.",long_5yr_plus,3,5,critical,199.5,"Climate scenario stress testing, sector monitoring and borrower adaptation engagement",True,SCN0048,quarterly,True,§25(a)
RISK-BANK03-2024-0001,BANK03,2024,Reputational risk — financed emissions scrutiny,transition_reputational,Stakeholder and NGO scrutiny of financed emissions and fossil financing could damage brand and trigger client attrition.,medium_2_5yr,5,3,critical,15.8,Enhanced financed-emissions disclosure controls and client engagement on transition plans,True,SCN0039,quarterly,False,§25(a)
RISK-BANK03-2024-0002,BANK03,2024,Transition risk — carbon pricing on industrial loans,transition_policy,"Tightening EU ETS and national carbon pricing raise operating costs for carbon-intensive borrowers, increasing default probability in cement, steel and chemicals.",medium_2_5yr,4,3,high,31.3,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",True,SCN0043,semi_annual,True,§25(a)
RISK-BANK03-2024-0003,BANK03,2024,Transition risk — building energy performance regulation,transition_policy,"Minimum energy performance standards may require costly retrofits for low-EPC mortgage collateral, reducing values and increasing LTV.",long_5yr_plus,3,4,high,91.8,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",True,,semi_annual,True,§25(a)
RISK-BANK03-2024-0004,BANK03,2024,Physical risk — wildfire exposure in southern portfolio,physical_acute,Wildfire frequency in southern European exposures threatens collateral and business continuity for affected counterparties.,medium_2_5yr,3,5,critical,577.0,"Wildfire hazard mapping, collateral revaluation and borrower resilience engagement",True,,quarterly,False,§25(a)
RISK-BANK03-2024-0005,BANK03,2024,Transition risk — EV shift in auto lending,transition_technology,Rapid electrification could strand internal-combustion vehicle manufacturers and suppliers in the lending book.,short_0_2yr,4,4,critical,84.1,"Technology transition monitoring, sector concentration limits and client transition-plan engagement",True,SCN0047,quarterly,False,§25(a)
RISK-BANK03-2024-0006,BANK03,2024,Physical risk — heat stress on agricultural borrowers,physical_chronic,"Chronic heat and shifting precipitation reduce yields for agricultural counterparties, weakening repayment capacity over the medium term.",medium_2_5yr,4,3,high,13.9,"Climate scenario stress testing, sector monitoring and borrower adaptation engagement",True,,semi_annual,True,§25(a)
RISK-BANK03-2024-0007,BANK03,2024,Stranded assets — fossil fuel sector exposure,transition_market,"Demand shifts away from fossil fuels risk stranding reserves and assets held by oil, gas and coal counterparties, reducing their enterprise value.",medium_2_5yr,5,3,critical,33.1,"Sector exposure limits, enhanced due diligence and portfolio decarbonisation glide-path monitoring",True,SCN0048,quarterly,False,§25(a)
RISK-BANK03-2024-0008,BANK03,2024,Physical risk — mortgage book flood exposure,physical_acute,Residential and commercial mortgage collateral located in flood-prone zones faces rising acute physical risk. Property damage and devaluation could impair collateral coverage.,short_0_2yr,4,4,critical,152.9,"Collateral revaluation, flood-zone mapping overlay and updated mortgage underwriting criteria",True,SCN0047,quarterly,False,§25(a)
RISK-BANK04-2023-0001,BANK04,2023,Physical risk — heat stress on agricultural borrowers,physical_chronic,"Chronic heat and shifting precipitation reduce yields for agricultural counterparties, weakening repayment capacity over the medium term.",long_5yr_plus,5,3,critical,27.5,"Climate scenario stress testing, sector monitoring and borrower adaptation engagement",True,,quarterly,False,§25(a)
RISK-BANK04-2023-0002,BANK04,2023,Physical risk — wildfire exposure in southern portfolio,physical_acute,Wildfire frequency in southern European exposures threatens collateral and business continuity for affected counterparties.,medium_2_5yr,3,3,high,20.3,"Wildfire hazard mapping, collateral revaluation and borrower resilience engagement",True,,semi_annual,True,§25(a)
RISK-BANK04-2023-0003,BANK04,2023,Stranded assets — fossil fuel sector exposure,transition_market,"Demand shifts away from fossil fuels risk stranding reserves and assets held by oil, gas and coal counterparties, reducing their enterprise value.",long_5yr_plus,4,3,high,29.4,"Sector exposure limits, enhanced due diligence and portfolio decarbonisation glide-path monitoring",True,,semi_annual,False,§25(a)
RISK-BANK04-2023-0004,BANK04,2023,Reputational risk — financed emissions scrutiny,transition_reputational,Stakeholder and NGO scrutiny of financed emissions and fossil financing could damage brand and trigger client attrition.,medium_2_5yr,3,4,high,79.5,Enhanced financed-emissions disclosure controls and client engagement on transition plans,True,,semi_annual,False,§25(a)
RISK-BANK04-2023-0005,BANK04,2023,Transition risk — carbon pricing on industrial loans,transition_policy,"Tightening EU ETS and national carbon pricing raise operating costs for carbon-intensive borrowers, increasing default probability in cement, steel and chemicals.",medium_2_5yr,3,3,high,28.2,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",True,,semi_annual,False,§25(a)
RISK-BANK04-2023-0006,BANK04,2023,Transition risk — building energy performance regulation,transition_policy,"Minimum energy performance standards may require costly retrofits for low-EPC mortgage collateral, reducing values and increasing LTV.",medium_2_5yr,4,3,high,14.6,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",True,SCN0063,semi_annual,False,§25(a)
RISK-BANK04-2023-0007,BANK04,2023,Physical risk — mortgage book flood exposure,physical_acute,Residential and commercial mortgage collateral located in flood-prone zones faces rising acute physical risk. Property damage and devaluation could impair collateral coverage.,medium_2_5yr,4,3,high,25.9,"Collateral revaluation, flood-zone mapping overlay and updated mortgage underwriting criteria",True,SCN0065,semi_annual,False,§25(a)
RISK-BANK04-2023-0008,BANK04,2023,Transition risk — EV shift in auto lending,transition_technology,Rapid electrification could strand internal-combustion vehicle manufacturers and suppliers in the lending book.,short_0_2yr,5,5,critical,812.0,"Technology transition monitoring, sector concentration limits and client transition-plan engagement",True,,monthly,False,§25(a)
RISK-BANK04-2024-0001,BANK04,2024,Stranded assets — fossil fuel sector exposure,transition_market,"Demand shifts away from fossil fuels risk stranding reserves and assets held by oil, gas and coal counterparties, reducing their enterprise value.",medium_2_5yr,5,5,critical,1774.5,"Sector exposure limits, enhanced due diligence and portfolio decarbonisation glide-path monitoring",True,SCN0058,monthly,True,§25(a)
RISK-BANK04-2024-0002,BANK04,2024,Transition risk — EV shift in auto lending,transition_technology,Rapid electrification could strand internal-combustion vehicle manufacturers and suppliers in the lending book.,short_0_2yr,3,3,high,36.9,"Technology transition monitoring, sector concentration limits and client transition-plan engagement",True,SCN0060,semi_annual,False,§25(a)
RISK-BANK04-2024-0003,BANK04,2024,Physical risk — heat stress on agricultural borrowers,physical_chronic,"Chronic heat and shifting precipitation reduce yields for agricultural counterparties, weakening repayment capacity over the medium term.",long_5yr_plus,4,3,high,20.6,"Climate scenario stress testing, sector monitoring and borrower adaptation engagement",True,SCN0069,semi_annual,False,§25(a)
RISK-BANK04-2024-0004,BANK04,2024,Transition risk — carbon pricing on industrial loans,transition_policy,"Tightening EU ETS and national carbon pricing raise operating costs for carbon-intensive borrowers, increasing default probability in cement, steel and chemicals.",medium_2_5yr,3,3,high,13.9,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",True,,semi_annual,True,§25(a)
RISK-BANK04-2024-0005,BANK04,2024,Physical risk — mortgage book flood exposure,physical_acute,Residential and commercial mortgage collateral located in flood-prone zones faces rising acute physical risk. Property damage and devaluation could impair collateral coverage.,long_5yr_plus,4,5,critical,231.8,"Collateral revaluation, flood-zone mapping overlay and updated mortgage underwriting criteria",True,SCN0062,monthly,False,§25(a)
RISK-BANK04-2024-0006,BANK04,2024,Physical risk — wildfire exposure in southern portfolio,physical_acute,Wildfire frequency in southern European exposures threatens collateral and business continuity for affected counterparties.,short_0_2yr,4,4,critical,64.1,"Wildfire hazard mapping, collateral revaluation and borrower resilience engagement",True,SCN0072,quarterly,False,§25(a)
RISK-BANK04-2024-0007,BANK04,2024,Reputational risk — financed emissions scrutiny,transition_reputational,Stakeholder and NGO scrutiny of financed emissions and fossil financing could damage brand and trigger client attrition.,medium_2_5yr,3,3,high,17.3,Enhanced financed-emissions disclosure controls and client engagement on transition plans,True,,semi_annual,False,§25(a)
RISK-BANK04-2024-0008,BANK04,2024,Transition risk — building energy performance regulation,transition_policy,"Minimum energy performance standards may require costly retrofits for low-EPC mortgage collateral, reducing values and increasing LTV.",long_5yr_plus,4,5,critical,423.4,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",True,,monthly,False,§25(a)
RISK-BANK05-2023-0001,BANK05,2023,Physical risk — mortgage book flood exposure,physical_acute,Residential and commercial mortgage collateral located in flood-prone zones faces rising acute physical risk. Property damage and devaluation could impair collateral coverage.,short_0_2yr,2,2,medium,3.1,"Collateral revaluation, flood-zone mapping overlay and updated mortgage underwriting criteria",False,,annual,False,§25(a)
RISK-BANK05-2023-0002,BANK05,2023,Stranded assets — fossil fuel sector exposure,transition_market,"Demand shifts away from fossil fuels risk stranding reserves and assets held by oil, gas and coal counterparties, reducing their enterprise value.",short_0_2yr,2,2,medium,5.8,"Sector exposure limits, enhanced due diligence and portfolio decarbonisation glide-path monitoring",False,,annual,True,§25(a)
RISK-BANK05-2023-0003,BANK05,2023,Reputational risk — financed emissions scrutiny,transition_reputational,Stakeholder and NGO scrutiny of financed emissions and fossil financing could damage brand and trigger client attrition.,medium_2_5yr,4,4,critical,131.5,Enhanced financed-emissions disclosure controls and client engagement on transition plans,True,SCN0074,quarterly,False,§25(a)
RISK-BANK05-2023-0004,BANK05,2023,Physical risk — wildfire exposure in southern portfolio,physical_acute,Wildfire frequency in southern European exposures threatens collateral and business continuity for affected counterparties.,short_0_2yr,4,4,critical,162.6,"Wildfire hazard mapping, collateral revaluation and borrower resilience engagement",True,,quarterly,True,§25(a)
RISK-BANK05-2023-0005,BANK05,2023,Transition risk — EV shift in auto lending,transition_technology,Rapid electrification could strand internal-combustion vehicle manufacturers and suppliers in the lending book.,short_0_2yr,4,3,high,31.3,"Technology transition monitoring, sector concentration limits and client transition-plan engagement",False,SCN0083,semi_annual,False,§25(a)
RISK-BANK05-2023-0006,BANK05,2023,Physical risk — heat stress on agricultural borrowers,physical_chronic,"Chronic heat and shifting precipitation reduce yields for agricultural counterparties, weakening repayment capacity over the medium term.",medium_2_5yr,4,2,high,9.3,"Climate scenario stress testing, sector monitoring and borrower adaptation engagement",True,SCN0078,semi_annual,True,§25(a)
RISK-BANK05-2023-0007,BANK05,2023,Transition risk — building energy performance regulation,transition_policy,"Minimum energy performance standards may require costly retrofits for low-EPC mortgage collateral, reducing values and increasing LTV.",long_5yr_plus,3,4,high,81.3,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",True,SCN0084,semi_annual,False,§25(a)
RISK-BANK05-2023-0008,BANK05,2023,Transition risk — carbon pricing on industrial loans,transition_policy,"Tightening EU ETS and national carbon pricing raise operating costs for carbon-intensive borrowers, increasing default probability in cement, steel and chemicals.",long_5yr_plus,3,4,high,131.0,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",True,,semi_annual,True,§25(a)
RISK-BANK05-2024-0001,BANK05,2024,Physical risk — wildfire exposure in southern portfolio,physical_acute,Wildfire frequency in southern European exposures threatens collateral and business continuity for affected counterparties.,medium_2_5yr,4,4,critical,88.9,"Wildfire hazard mapping, collateral revaluation and borrower resilience engagement",True,SCN0084,quarterly,True,§25(a)
RISK-BANK05-2024-0002,BANK05,2024,Transition risk — building energy performance regulation,transition_policy,"Minimum energy performance standards may require costly retrofits for low-EPC mortgage collateral, reducing values and increasing LTV.",medium_2_5yr,3,2,medium,13.7,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",False,SCN0082,annual,False,§25(a)
RISK-BANK05-2024-0003,BANK05,2024,Reputational risk — financed emissions scrutiny,transition_reputational,Stakeholder and NGO scrutiny of financed emissions and fossil financing could damage brand and trigger client attrition.,short_0_2yr,4,2,high,8.2,Enhanced financed-emissions disclosure controls and client engagement on transition plans,True,,semi_annual,False,§25(a)
RISK-BANK05-2024-0004,BANK05,2024,Physical risk — mortgage book flood exposure,physical_acute,Residential and commercial mortgage collateral located in flood-prone zones faces rising acute physical risk. Property damage and devaluation could impair collateral coverage.,short_0_2yr,2,2,medium,8.8,"Collateral revaluation, flood-zone mapping overlay and updated mortgage underwriting criteria",False,,annual,False,§25(a)
RISK-BANK05-2024-0005,BANK05,2024,Transition risk — carbon pricing on industrial loans,transition_policy,"Tightening EU ETS and national carbon pricing raise operating costs for carbon-intensive borrowers, increasing default probability in cement, steel and chemicals.",short_0_2yr,3,4,high,77.5,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",True,SCN0081,semi_annual,False,§25(a)
RISK-BANK05-2024-0006,BANK05,2024,Transition risk — EV shift in auto lending,transition_technology,Rapid electrification could strand internal-combustion vehicle manufacturers and suppliers in the lending book.,medium_2_5yr,3,4,high,118.1,"Technology transition monitoring, sector concentration limits and client transition-plan engagement",False,SCN0077,semi_annual,False,§25(a)
RISK-BANK05-2024-0007,BANK05,2024,Stranded assets — fossil fuel sector exposure,transition_market,"Demand shifts away from fossil fuels risk stranding reserves and assets held by oil, gas and coal counterparties, reducing their enterprise value.",medium_2_5yr,3,3,high,19.1,"Sector exposure limits, enhanced due diligence and portfolio decarbonisation glide-path monitoring",True,SCN0079,semi_annual,False,§25(a)
RISK-BANK05-2024-0008,BANK05,2024,Physical risk — heat stress on agricultural borrowers,physical_chronic,"Chronic heat and shifting precipitation reduce yields for agricultural counterparties, weakening repayment capacity over the medium term.",medium_2_5yr,3,3,high,25.7,"Climate scenario stress testing, sector monitoring and borrower adaptation engagement",True,SCN0073,semi_annual,False,§25(a)
