page,text,char_count
19,"03
Strategy",11
20,"3.1 Overview
Sustainability is embedded in the Group’s culture, 
operations and strategic planning. It informs strategic 
decision-making and drives long-term value creation for 
stakeholders.
The Group’s sustainability strategy incorporates ESG 
priorities to support sustainable growth, manage risks 
and deliver measurable outcomes.
A core objective of the strategy is to provide 
responsible, inclusive and innovative financial services 
that contribute to sustainable economic growth. 
Emirates NBD focuses on enhancing customer 
experience, creating value and promoting financial 
inclusion, ensuring that all banking services are 
conducted responsibly and sustainably.
The strategy aligns with key global and national 
frameworks, including the UN Sustainable Development 
Goals (UN SDGs), UAE Vision 2030, the UAE Green 
Agenda 2030 and the United Nations Environment 
Programme’s Dubai Declaration on Sustainable Finance
These alignments guide the Group’s efforts in financing 
the transition to a low-carbon economy, achieving 
Net Zero by 2050, improving disclosures, leveraging 
technology for innovation, enhancing social impact and 
maintaining robust governance.
In 2024, Emirates NBD received recognition for its 
performance at the Euromoney Awards for Excellence, 
winning titles such as ‘Middle East’s Best Bank for SMEs’, 
‘UAE’s Best Bank for SMEs’, ‘Middle East’s Best Bank for 
Wealth Management’, ‘UAE’s Best Bank for Corporates’ 
These awards reflect the Group’s commitment to 
delivering high-quality services and integrating 
sustainability into its operations.
The Group conducts annual materiality assessments to 
engage with stakeholders and ensure its sustainability 
strategy addresses the most material topics.
These assessments inform the strategy’s alignment with 
stakeholder priorities and guide its implementation.
1. 
Financing Transition – (Sustainable Finance)
2. Achieving Net Zero – (Climate related risks & 
opportunities)
3. Enhancing Disclosures – (Corporate Governance 
and Ethics)
4. Digitisation – (Data Privacy and Cyber Security)
5. Positive Social Impact – (Diversity and Inclusion)
Strategy
Strategy
20
Emirates NBD Group 2024 IFRS S1 and S2 Report",2202
21,"Strategy
The Group Sustainability Strategy and Focus themes
Financing Transition 
Achieving Net Zero
Enhancing Disclosures
Digital Transformation
Positive Social Impact
• 
Achievement - USD2.250bn funds 
raised through the international capital 
markets in 2024
• 
Target - 30 billion Sustainable Finance 
provision by 2030
• 
Focus: 
‐ Alignment of SLLB to the ICMA 
Sustainability-Linked Loans 
Financing Bonds Guidelines
‐ Alignment of our Sustainability 
Sukuk to the International Capital 
Market Association (ICMA), the 
Islamic Development Bank (IsDB) 
and London Stock Exchange Group 
(LSEG) Guidance on Green, Social 
and Sustainabiilty Sukuk
• 
Achievement - 1) 15% reduction in 
Scope 1 & 2 in 2024 compared to 2023 
in UAE
• 
Target - Net Zero by 2050
• 
Focus:
 ‐ Alignment to the Principles of 
Responsible Banking (PRB) 
 ‐ Alignment to the NDC commitments 
across our countries of operation
• 
Achievement - 1)First TCFD report 
released in 2024 with assurance. 2) S&P 
ratings increased from 37 in 2023 to 54 
in 2024. 
• 
Target - 1) Release the Group’s first IFRS 
S1 and S2 report 
• 
2) Release the Group’s first TNFD 
(Task force for nature-related financial 
disclosures) report
• 
Focus: 
 ‐ Alignment with leading global ESG 
reporting standards including GRI 
and SASB 
• 
Achievement- Implementation of 
Microsoft Sustainability Manager (MSM) 
for emissions tracking
• 
Target - Reporting Automation
• 
Focus:
 ‐ Emirates NBD plans to deploy a 
state-of-the-art conversational 
chat capblity across business and 
support functions, including ESG
• 
Achievement 18% of women in 
leadership roles in 2024. 
• 
Target - 25% women in leadership roles 
by 2027 
• 
Focus:
 ‐ Emirates NBD has signed the UAE 
Gender Balance Pledge. As a 
pledge member, Emirates NBD 
actively collaborates with the UAE 
Gender Balance Council (GBC) 
to align with the UAE’s vision of 
achieving all 17 UN SDGs
21
Emirates NBD Group 2024 IFRS S1 and S2 Report",1962
22,"Strategy
Emirates NBD remains committed to advancing 
sustainable finance by raising capital to support 
initiatives that contribute to a low-carbon and inclusive 
economy. A significant portion of funds raised in 
international capital markets is sustainability-linked, 
reflecting alignment with global standards, including 
the Paris Agreement and Nationally Determined 
Contributions (NDCs) of the countries in which the Group 
operates.
Proceeds from sustainable finance instruments are 
allocated to eligible projects identified within the 
Group’s Sustainable Finance Framework. These include:
• 
Renewable energy
• 
Energy efficiency
• 
Clean transportation
• 
Sustainable water management
• 
Green buildings
• 
Social inclusion initiatives, such as access to 
essential services and affordable housing
The Group ensures transparency and accountability 
by publishing regular impact reports detailing fund 
allocation, project performance and measurable 
contributions to the UN SDGs. Sustainable finance 
remains a priority, as reflected in the 2024 materiality 
assessment, reaffirming its importance to stakeholders. 
Emirates NBD continues to mobilise capital to deliver 
measurable, sustainable outcomes.
emissions from internal operations (Scope 1 and Scope 
2) and financed activities (financed emissions). Short-
term targets include a 5% annual reduction in Scope 
1 and Scope 2 emissions until 2027, while mid-term 
targets aim for a 30% reduction by 2030. Key initiatives 
include the deployment of solar panels and investments 
in sustainable projects.
The Group evaluates climate-related risks and 
opportunities, recognising their material impact on 
net-zero efforts. Climate considerations remain among 
the top five material topics for 2024. To further embed 
ESG across operations, the Group will define sector-
specific glide paths and emission reduction targets, with 
strategies scheduled for publication in 2025.
 
Emirates NBD is the first bank in the MENA region to 
receive the highest ESG ratings with a ranking of 5th 
amongst diversified banks by Sustainalytics, alongside 
the highest ratings from S&P in 2024. These ratings 
reflect the Group’s consistent efforts to enhance 
transparency and disclosure standards.
In 2024, the Group published its first TCFD report, 
alongside its annual ESG Report. The Group’s 
governance framework ensures effective oversight by 
the BOD and Senior Management, enabling prudent risk 
management while ensuring the ethical delivery of the 
Group’s business strategy.
Strong governance drives accountability across the 
organisation, strengthening stakeholder relationships. 
Corporate governance and ethics remain priorities, as 
highlighted in the 2024 materiality assessment.
The Group aims to enhance its disclosures by releasing 
this IFRS S1 and S2 report followed by a Taskforce for 
Nature-related Financial Disclosures (TNFD) report in 
2025.
Emirates NBD continues to integrate technology 
across its sustainability operations, aligning with its 
vision to lead innovation for customers, employees 
and communities. In 2023, the Group successfully 
implemented Microsoft Sustainability Manager (MSM) 
in collaboration with Microsoft, advancing digital 
transformation in sustainability reporting and operations.
Understanding the criticality of customer experience 
and streamlined business operations, Emirates NBD 
plans to deploy a state-of-the-art conversational 
chat capability, across all business and support 
functions including ESG. The Group plans to implement 
conversational chatbot effective 2025 for the annual 
ESG reports to support stakeholders. 
In 2024, more than 8,500 stakeholders visited the 
sustainability page on the Emirates NBD corporate 
website, to understand the organisation’s contributions 
to sustainability. The conversational chatbot will support 
to reduce time and effort spent by stakeholders in 
finding and comprehending the information and data 
related to our ESG performance and disclosures 
in the ESG reports that are lengthy in nature. This 
digital transformation will enable the bank to deliver 
personalized experiences, improve operational 
efficiency, and foster innovation throughout the 
organisation. 
Emirates NBD is committed to ensuring its financial 
products, services and operations are accessible to 
all consumers, including vulnerable and underserved 
groups, in alignment with international standards. 
All product features, risks, terms and conditions are 
designed to be appropriate and comprehensible.
In 2024, the Group launched a financial inclusion 
website, offering tools and resources to enhance 
financial well-being. Other initiatives include:
• 
Anti-fraud awareness events to enhance customer 
knowledge
• 
Financial literacy workshops for more than 
200 women, promoting financial inclusion and 
empowerment
The Group’s #TogetherLimitless programme reflects 
its commitment to the UN SDGs and supports diversity, 
equity and inclusion. Emirates NBD has pledged 
to achieve 25% representation of women in senior 
leadership roles by 2027, advancing inclusive leadership 
and equitable opportunities.
1. 
Financing Transition
2. Achieving Net Zero
3. Enhancing Disclosures:
4. Digital Transformation
5. Positive Social Impact
22
Emirates NBD Group 2024 IFRS S1 and S2 Report",5334
23,"3.2 Sustainability risks & opportunities across the value chain
The Group-wide sustainability strategy is integrated across our value chain. Sustainability and ESG considerations 
underpin the Group’s approach to raising capital, managing internal operations and engaging with customers and 
the public. Across all facets of business and operations, the Group seeks to mitigate associated risks while delivering 
measurable outcomes that create positive impact for customers, suppliers and employees. 
Our conceptual model of our business value chain is depicted below. This model provides the base framework for 
undertaking ESG risks and opportunity analysis.
Upstream risks refer to potential disruptions 
in our ability to access capital
Operational risks in the internal part of the 
value chain refer to risks that can impact the 
smooth functioning of everyday business
Downstream risks in a bank’s value chain 
refer to the potential risks of the group’s 
products and services and the impact they 
have on the group’s balance sheet and 
society at large
Figure 3: Risks and opportunities across Emirates NBD Group’s value chain
Commercial
Retail
Islamic banking
Asset 
management
Islamic banking 
investments
Advisory
Investment 
Banking
Upstream
Risk and Opportunities
Operational
Downstream
Deposit and investment
Supplier
Employees
Secure operations
Client acquisition
Lending
Investment
Services
Strategy
23
Emirates NBD Group 2024 IFRS S1 and S2 Report",1466
24,"• 
Upstream activities refer to the Emirates NBD 
Group’s engagements with investors and other 
stakeholders to raise capital. There is a relatively 
low concentration of sustainability related risks 
upstream in the Group’s value chain, particularly 
with the policies and best practices followed, with 
increasing opportunities.
• 
Internal operations encompass the activities and 
processes that enable the Group to deliver products 
and services to clients. This central segment of the 
value chain involves key stakeholders, including 
employees, suppliers and service providers. The 
risks and opportunities in this area are diverse and 
nuanced, requiring adaptive strategies to ensure 
effective management.
• 
Downstream activities represent the mobilisation 
of capital into the economy. This is the most critical 
part of the Group’s value chain, with the highest 
concentration of sustainability-related risks arising 
as capital is deployed and market engagement 
increases. At the same time, downstream activities 
present the most significant opportunities. As the 
economies and markets in which the Group operates 
transition towards sustainability, Emirates NBD is 
uniquely positioned to finance and support this 
transformation.
Society faces increasingly interconnected and complex 
sustainability challenges, necessitating a proactive 
role from the Banking and Financial Services sector in 
managing risk. Failure to address these challenges could 
undermine societal stability, stakeholder trust and the 
reputation of the financial services industry.
Sustainability risks and opportunities, akin to other 
global risks, are inherently interdependent and often 
exhibit emerging characteristics. These risks are typically 
long-term in nature, act as drivers for other risks and are 
difficult to quantify due to the uncertainty surrounding 
their future development. While some sustainability-
related risks have short-term implications, the majority 
follow medium- to long-term gestation cycles.
In recognition of these dynamics, a long-term 
perspective is applied in the assessment of 
sustainability-related risks and opportunities. This 
perspective aligns with the Group’s corporate and 
strategic planning horizons, ensuring that sustainability 
considerations are integrated into strategic decision-
making and prioritisation. This approach supports 
Emirates NBD in navigating the evolving sustainability 
landscape and driving long-term value creation.
Time horizons considered for ESG risk 
and opportunity analysis
The time horizons are as follows:
• 
Short-Term (Up to 2030): 
Focused on immediate sustainability actions and 
the integration of ESG criteria into our near-term 
operations and decision-making processes.
• 
Medium-Term (2030 to 2040): 
Dedicated to deepening our sustainable finance 
initiatives, with an emphasis on transformative 
projects that will shape our progress in the next 
decade.
• 
Long-Term (2040 to 2050): 
Focused on immediate sustainability actions and 
the integration of ESG criteria into our near-term 
operations and decision-making processes.
Emirates NBD has undertaken an analysis of the key 
sustainability and climate-related risks and opportunities 
across our value chains that align with our 5 most material 
themes.
Strategy
24
Emirates NBD Group 2024 IFRS S1 and S2 Report",3358
25,"Impact Materiality
Positive Impacts
Actual or Potential
Negative Impacts
Actual or Potential
Enhanced Environmental Protection: Financing projects that reduce carbon 
emissions and promote renewable energy can significantly contribute to 
improved environmental outcomes and sustainability
Actual
Greenwashing Risks: Potential misrepresentation of financial products as 
sustainability without substantial backing can lead to reputational damage and 
loss of trust amongst stakeholders
Potential
Social Development: Investments in affordable housing, healthcare and 
education initiatives bolster community well-being and social equity, whilst 
avoiding investments in areas with a negative social impact works to strengthen 
societal relationships. 
Actual
Market Exclusion: Certain sectors may face reduced funding due to stringent 
ESG criteria, potentially impacting economic diversity and economic stability
Potential
Economic Resilience: Supporting businesses that adopt sustainable practices, 
leading to continued economic growth and innovation 
Potential
Market Risk and Volatility: Misaligned sustainability practices may cause market 
fluctuation and hinder investor confidence, affecting economic health
Potential
1. Sustainable Finance
Strategy
Financial Materiality
Risks
Timeframe
Opportunities
Timeframe
Regulatory Compliance Costs: Adapting to evolving ESG regulations and meeting 
comprehensive reporting standards may lead to increased operational expenses 
and require resource allocation
Short to Medium Term
Access to New Markets: Financing sustainable projects opens pathways to 
participate in emerging green sectors, fostering growth and diversifying 
revenue streams
Medium to Long Term
Reputational Damage: Associations with projects or entities that fail to meet ESG 
expectations can result in a loss of credibility and stakeholder trust, affecting 
long-term brand value 
Short to Long Term
Investor Attraction: Growing demand for ESG-compliant investments can lead 
to increased capital inflows as investors prioritise sustainable and responsible 
financial practices 
Short to Long Term
25
Emirates NBD Group 2024 IFRS S1 and S2 Report",2167
26,"Strategy
Impact Materiality
Positive Impacts
Actual or Potential
Negative Impacts
Actual or Potential
Enhanced Customer Trust: Implementing robust data privacy measures 
strengthens customer confidence and loyalty
Actual
Data Breaches & Financial Loss: Potential unauthorised access to sensitive 
customer data could result in significant harm to customers and the business, as 
well as financial loss, legal fees and compensation claims. Furthermore, this can 
also result in reputational damage.
Potential 
Regulatory Compliance: Adhering to global and local data protection laws and 
regulations helps to ensure legal compliance, minimising risk of penalties and 
enhancing corporate credibility 
Actual
Customer Resistance to Enhanced Security Measures: Where security portfolios 
are perceived as compliance or time consuming, this can lead to frustration and a 
decline in user satisfaction
Potential
Increased Digital Skills, Knowledge and Opportunities for Employees: This 
increase in skills and knowledge works to boost productivity and adaptability 
Actual
Access Barriers to Users with Less Digital Skills: Enhanced digital systems may 
pose challenges for users who have limited digital proficiency, potential impact 
accessibility for certain groups
Potential
Increased Operational Resilience and Advanced Cybersecurity Measures: 
Boosting Emirates NBD’s cybersecurity detection and responsibility abilities 
ensures data protection and fortifies IT infrastructure, enhances resilience and 
works to ensure business continuity
Potential
Financial Materiality
Risks
Timeframe
Opportunities
Timeframe
Cybersecurity Threats: The increasing sophistication of cyber-attacks presents 
continuous risk to data security, financial stability and business operations. This 
can lead to financial loss, service interruptions and customer dissatisfaction 
Short to Long Term
Enhanced Market Competitiveness: Robust data privacy and cyber security 
frameworks set the organisation apart as a trusted financial institution, attracting 
clients and partners who value security
Medium to Long Term
Regulatory Penalties: Non-compliance with data privacy regulations can result 
in significant fines and legal repercussions, impacting financial performance and 
strategic initiatives 
Short to Medium Term
Technological Leadership: Investing in state-of-the-art cybersecurity 
technology and advanced data privacy measures can position the organisation 
as an industry leader, fostering partnerships and innovation
Medium to Long Term
Operational Disruption: Cyber incidents can disrupt critical business operations, 
leading to productivity loss and increased recovery costs. The inability to 
promptly respond to breaches can exacerbate these impacts 
Short Term
Improved Customer Engagement: Demonstrating a commitment to data 
privacy and cybersecurity enhances customer trust, leading to greater customer 
retention, loyalty and engagement 
Short to Long Term
2. Data Privacy and Cyber Security
26
Emirates NBD Group 2024 IFRS S1 and S2 Report",3044
27,"Impact Materiality
Positive Impacts
Actual or Potential
Negative Impacts
Actual or Potential
Strengthened Stakeholder Confidence: Robust corporate governance 
frameworks promote trust among stakeholders, reinforcing the Group’s 
reputation and reliability 
Actual
Reputation Risk: Ethical missteps or lapses in governance may lead to significant 
damage to the Group’s public image and stakeholder trust
Potential
Positive Economic Contribution: Ensuring access to quality, transparency 
financial services contribute to economic resilience and supports sustainable 
development 
Actual
Internal Culture Risks: Failure to maintain a strong corporate culture aligned 
with ethical practices could lead to reduced moral, increased turnover and 
compromised business integrity 
Potential 
Regulatory Alignment: Adherence to governance principles ensures compliance 
with financial and ethical standards, minimising exposure to regulatory challenges
Actual
Operational Inefficiencies: Ethical failures can result in misalignment and 
increased scrutiny from regulators, disrupting business operations 
Potential
Enhanced Strategic Sustainability: Upholding ethical practices aligns business 
objectives with long-term societal expectations and promotes a culture of 
integrity
Actual
Financial Penalties: Non-compliance with governance mandates or ethical 
breaches can incur monetary fines and impact financial standing
Potential
Financial Materiality
Risks
Timeframe
Opportunities
Timeframe
Regulatory Penalties and Legal Actions: Weak governance structures or unethical 
business practices can result increased regulatory actions, financial penalties and 
potential legal challenges 
Medium Term
Investor Appeal and Reputation Building: A strong reputation for ethical business 
practices enhances investor confidence and attracts responsible investment
Short Term
Reputational Damage: Failure to comply with ethical standards can lead to 
significant reputational risks, affecting trust among clients, investors and other 
stakeholders 
Short to Long Term
Competitive Edge: Effective governance sets the Group apart from peers, 
positioning it as a leader in responsible financial management
Medium to Long Term
Loss of Competitiveness: Governance failures and poor services or product 
design can lead to a decline in market competitiveness, affecting revenue and 
shareholder confidence
Medium Term
Commitment to Human Rights and Ethics: Promoting awareness of human 
rights and ethics within the Group can create a safer, more attractive workplace, 
contributing to overall employee satisfaction and retention 
Short to Medium Term
Strategy
3. Corporate Governance and Ethics
27
Emirates NBD Group 2024 IFRS S1 and S2 Report",2727
28,"Impact Materiality
Positive Impacts
Actual or Potential
Negative Impacts
Actual or Potential
Enhanced Stakeholder Trust: Proactive climate strategies and sustainable 
practices bolster the Group’s reputation, improving relationships with clients, 
investors and regulators 
Actual
Exclusion of High-Risk Clients: Clients exposed to significant climate and 
environmental risks may face exclusion, potentially resulting in economic loss
Actual
Increased Awareness and Commitment: The increase in awareness promotes 
collaboration on climate and environmental issues across sectors, fostering 
shared responsibility
Actual
Operational and Business Distributions: Climate change-induced events such as 
floods, extreme heatwaves and other natural disasters can disrupt operations, 
supply chains and client activities
Actual
Regulatory Preparedness: Early adaption to climate related regulations ensures 
compliance and reduces the potential regulatory risks, positioning the Group for 
future sustainability requirements
Actual
Transition Risks: The shift to a low-carbon economy can result in increased 
operational costs and significant investment needs to adapt business models
Potential
Market Differentiation and Customer Engagement: Offering tailored green 
finance products enhances competitiveness, attracting clients who prioritise 
environmental impact and sustainability
Potential
Financial Materiality
Risks
Timeframe
Opportunities
Timeframe
Regulatory Compliance Costs: The evolving landscape of climate-related 
regulations may lead to higher costs associated with compliance and enhanced 
reporting requirements 
Short to Medium Term
Integration of Environmental Criteria into Risk Assessment and Management: 
Embedding environmental criteria into risk assessment financial strategies can 
reduce credit and financial risks by ensuring sustainability is integrated into 
current procedures 
Short Term
Credit Risk Increase: Clients in carbon-intensive sectors may face financial 
challenges as regulations and market preferences shift, impacting their 
creditworthiness and leading to potential defaults. Conversely, clients in 
renewable energy sectors may also face declining creditworthiness due to 
industry dynamics, including oversupply.
Medium to Long Term
Green Financing Growth: Selectively expand the Group’s portfolio of green 
bonds and sustainable financial products can attract new clients and drive 
revenue growth
Short to Long Term
Asset Devaluation: Investments and assets tied to high-carbon industries may 
lose value as the market shifts towards more sustainable, low carbon activities.
Medium Term
Innovative Product Development: Developing new financial products centred 
around renewable energy and sustainability offers potential for market 
differentiation and revenue expansion
Medium to Long Term
Reputational Risk: Perceived inconsistencies in climate-related communications 
or actions could lead to accusations of greenwashing, affecting Emirates NBD‘s 
reputation
Short Term
Operational Efficiency and Cost Saving: Implementing energy efficiency 
measures and sustainable operations reduces costs over time and minims the 
environmental footprint supporting Emirates NBD’s ESG goals. 
Short to Medium Term
Strategy
4. Climate Related Risks and Opportunities
28
Emirates NBD Group 2024 IFRS S1 and S2 Report",3351
29,"Impact Materiality
Positive Impacts
Actual or Potential
Negative Impacts
Actual or Potential
Improved Workplace Culture: A diverse and inclusive work environment fosters 
innovation, collaboration and employee satisfaction
Actual
Resistance to Change: Integrating diversity and inclusion initiatives may face 
challenges due to existing workplace biases or resistance to new policies
Potential
Enhanced Talent Acquisition and Retention: Promoting an inclusive culture 
attracts top talent from diverse backgrounds, enhancing Emirates NBD’s 
competitiveness in the job market
Actual
Inequality Perception: Failure to implement effective diversity strategies can lead 
to perceived inequality and potential employee dissatisfaction
Potential
Stronger Community Engagement: Engagement in diversity programmes 
strengthens ties with the community and enhances the Group’s social impact
Actual
Reputational Risks: Inadequate diversity measures or failure to meet diversity 
expectations can damage the Group’s reputation among stakeholders in the 
public
Potential
Commitment to Employee Health and Work-Life Balance: Prioritising well-being 
can increase productivity and motivation, leading to higher overall performance 
and job fulfilment
Actual 
Financial Materiality
Risks
Timeframe
Opportunities
Timeframe
Regulatory and Compliance Risks: Failure to comply with diversity and inclusion 
laws or standards may result in legal actions, fines, or penalties
Short to Medium Term
Increased Productivity and Innovation: Diverse teams contribute to varied 
perspective that can drive creativity, leading to more innovative solutions and 
business growth
Medium to Long Term
Talent Management Costs: Implementing new diversity and inclusion 
programmes may incur initial costs, including raining and policy development
Short Term
Market Appeal and Customer Reach: A diverse workplace enables the Group to 
better understand and serve a wide range of customers, improving market reach 
and customer relationships
Medium to Long Term
Employee Turnover: Lack of diversity and an inclusive environment can lead 
to high employee turnover, which impacts operational stability and increased 
recruitment costs
Short to Medium Term
Stronger Employer Brand: A commitment to diversity and inclusion positions the 
Group as an employer of choice, attracting high-calibre talent and enhancing 
recruitment efforts
Short to Long Term
Strategy
5. Diversity and Inclusion
29
Emirates NBD Group 2024 IFRS S1 and S2 Report",2500
30,"3.3 Strategic management of sustainability related 
risks & opportunities across our value chain
This section outlines the analysis of sustainability-related risks and 
opportunities across the value chain, with a focus on their potential 
impact on access to finance and the cost of capital over the short, 
medium and long term. This assessment is informed by the three 
key enterprise risks and opportunities identified, as detailed in 
section 1.8.
Upstream risks refer to potential disruptions in the ability to access capital. Emirates NBD Group employs robust strategies to diversify 
access to capital, complemented by internal processes that foster investor confidence and ensure continued access to finance.
These mechanisms help mitigate emerging corporate governance risks that could undermine stakeholder trust, minimising 
vulnerabilities in the upstream segment of the value chain. By embedding these principles, Emirates NBD continues to build trust and 
credibility with upstream stakeholders.
Furthermore, the diversification strategy for capital raising presents unique opportunities. Engaging with Development Finance 
Institutions (DFIs) and impact investment funds allows Emirates NBD to leverage its sustainability performance, broadening access to 
capital while fostering the development of high-impact, sustainable portfolios.
Emirates NBD utilises a variety of financial instruments to raise capital. In 2023, Emirates NBD raised USD 750 million through the 
issuance of a green bond, marking the largest issuance by a regional bank. Additionally, DenizBank, a subsidiary of Emirates NBD in 
Türkiye, has raised over over USD 3.8 billion from Multilateral Development Banks (MDBs) and DFIs since 2007. These funds have been 
sourced through bilateral loans, syndicated loan facilities and trade facilities, among other mechanisms.
The over USD 3.8 billion raised by DenizBank has been directed towards financing green and social projects, including renewable 
energy and energy efficiency, SMEs in underdeveloped regions, micro-farmers, women entrepreneurs and disaster relief initiatives. 
In managing the proceeds from these capital raises, including sustainable finance instruments, Emirates NBD adopts a portfolio 
approach, ensuring that net proceeds align with eligible loans or financing portfolios within 24 months of each issuance. This strategy 
ensures financial decisions remain in line with the original goals of the fund raise, while also addressing the long-term needs of society, 
considering both immediate and future impacts.
1. Assessment and Management of Upstream Risk & Opportunities
A comprehensive assessment of 
regulatory compliance processes 
is conducted
1
Strict adherence to business ethics 
and corporate governance standards 
is maintained
2
A clear ESG roadmap is established, 
with targets set and performance 
communicated periodically
3
Strategy
30
Emirates NBD Group 2024 IFRS S1 and S2 Report",2957
31,"More details on employee development and management programmes are presented in the 
annual Group 2024 ESG report
Figure 4: Key pillars of employee engagement and workforce development
Through concerted efforts and the numerous initiatives launched throughout 2024, the Group aims to foster a sense of unity among employees across 
diverse geographies.
• 
An annual employee survey is conducted, reaching every member of the organisation. This comprehensive survey explores various aspects of the 
employee experience, including job satisfaction, purpose, motivation, engagement, happiness, stress levels and wellness and safety. The overall 
employee engagement score in 2024 stood at 77%, with an employee turnover rate of 10% (as at 30 September 2024).
• 
The Group is committed to ensuring diversity, maintaining the share of women in the total workforce at 40%. Efforts to address potential gender-
related gaps include:
• 
Regular internal pay monitoring: Ongoing assessments are conducted to ensure compensation strategies are fair and equitable.
• 
Transparent reporting: Gender pay and diversity data are monitored and discussed internally, providing a clear overview of progress towards 
set goals and ambitions.
• 
Benchmarks and targets: Ambitious targets for female representation in leadership roles are established, in line with the UAE’s vision.
• 
Diversity and inclusion training: Mandatory annual training programmes are offered to all employees on the Code of Conduct, diversity topics 
and internal policies, aimed at eliminating unconscious bias and promoting a culture of meritocracy.
Assessment and Management of Risks & Opportunities 
in Internal Operations:
Sustainability related operational risk can significantly impact Emirates 
NBD’s ability to function effectively. The approach towards managing these 
risks involves following:
Managing Employee Engagement
At Emirates NBD Group, nurturing the aspirations, needs, and concerns of 
employees is a top priority. With over 26,000 employees worldwide, the 
Group is dedicated to creating an inclusive workplace that emphasises 
employee development, well-being, fairness, and equal opportunity. By 
fostering a supportive and positive work environment, the Group aims to 
enhance productivity, reduce attrition, and promote long-term workforce 
development.
To support this, a number of activities such as below were conducted 
throughout 2024:
Annual Employee Survey: In 2024, a comprehensive survey covering job 
satisfaction, motivation, wellness, and safety reached all employees, 
resulting in a 77% engagement score.
Employee Engagement: Regular initiatives are undertaken to align 
organisational objectives with employee aspirations and to celebrate 
collective achievements.
Talent Development: The Group focuses on attracting and nurturing talent 
at all organisational levels, ensuring employees feel valued and supported.
Learning & Development: Continuous learning through tailored 
training programs, leadership development workshops and upskilling 
opportunities are provided to all employees to encourage them to hone 
their skills for current and future opportunities.
Benefit Offering: A family friendly and highly competitive benefit package 
ensures balance in the employees’ professional and personal well-being. 
Diversity Commitment: Women make up 40% of the workforce, reflecting 
the Group’s dedication to maintaining diversity and inclusivity. Efforts to 
ensure diversity include the following:
• 
Benchmarks and targets: Ambitious targets for female representation 
in leadership roles are established, in line with the UAE’s vision.
• 
Regular internal pay monitoring: Regular assessments are conducted 
to ensure compensation strategies are fair and equitable.
• 
Transparency in reporting: Gender pay and diversity data are 
monitored and discussed internally, providing a clear overview of 
progress towards set goals.
• 
Diversity and inclusion sessions: Various programmes aimed at 
eliminating unconscious bias and promoting a culture of meritocracy 
are offered to all employees.
Recognition Programmes
Female Empowerment
Youth Empowerment
Future proofing our Workplace
Training and Development
Educational Programmes
Inclusion
Performance Management
Wages and Benefits
Engagement and 
Satisfaction
Talent, Learning and 
Development
Employee Health 
and Wellbeing
Diversity, Equity 
and Inclusion
Non-discrimination
Grievances
Human Rights
2024 ESG Momentum Report
Strategy
31
Emirates NBD Group 2024 IFRS S1 and S2 Report",4537
32,"Corporate Governance and Ethics
Managing the risks associated with our growing digital 
footprint, data handling, security and privacy: 
Robust corporate governance is fundamental to the 
Group’s capacity to manage a range of sustainability and 
climate-related risks and opportunities. The governance 
structure has been designed to ensure the application of 
the appropriate level of accountability and expertise at 
each stage of the decision-making process, both within 
and outside sustainability considerations.
The oversight and approval mechanisms that guide each 
decision help maintain strong financial performance, 
uphold the Group’s reputation and preserve the 
confidence of stakeholders, including customers, 
partners and regulators.
The Group’s governance practices have also facilitated 
the avoidance of operational inefficiencies by providing 
a clear framework for scrutiny and approvals across 
departments, ensuring that decisions are made in a 
timely, accurate and ethical manner.
The Group’s approach to ethics is embedded within 
various policies and procedures that guide decision-
making throughout the corporate governance 
framework.
These include a code of conduct that outlines measures 
for addressing and mitigating corruption and bribery, 
conflicts of interest, anti-trust practices, money 
laundering and a whistleblower programme. These 
practices foster a culture of transparency and ethical 
conduct, while minimising the risks of financial penalties.
Data security and privacy is a major consideration for 
all operations in the Emirates NBD Group. Inadequate 
risk management framework and failure to comply with 
regulatory requirements can lead to destabilisation of 
operations, loss of customer trust, legal and regulatory 
challenges, leading to significant financial losses and 
reputational damage.
There is a comprehensive strategy to mitigate data 
security and privacy risks at the Group including: 
• 
The alignment of Information Security and 
Cybersecurity strategies with the National Institute 
of Standards and Technology Cybersecurity 
Framework and the Information Security Forum’s 
Standard of Good Practice for Information Security. 
• 
Compliance with evolving global security and 
data privacy regulations, including the ISO 27001 
standards. 
• 
Internal and independent audits
• 
Regular employee training as well as customer 
education on cyber-security threats.
Strategy
32
Emirates NBD Group 2024 IFRS S1 and S2 Report",2488
