effect_id,bank_id,reporting_year,driver_type,linked_id,affected_statement,line_item,effect_timing,horizon,quantitative_effect_meur,qualitative_description,material_adjustment_next_period_flag,basis,is_synthetic
FE-RISK-BANK03-2024-0004,BANK03,2024,risk,RISK-BANK03-2024-0004,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,current,medium_2_5yr,57.7,Current-period effect attributable to: Physical risk — wildfire exposure in southern portfolio.,False,modelled_estimate,True
FE-RISK-BANK03-2024-0004-ANT,BANK03,2024,risk,RISK-BANK03-2024-0004,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,anticipated,medium_2_5yr,577.0,Anticipated medium_2_5yr effect attributable to: Physical risk — wildfire exposure in southern portfolio.,False,modelled_estimate,True
FE-RISK-BANK03-2024-0008,BANK03,2024,risk,RISK-BANK03-2024-0008,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,current,short_0_2yr,15.29,Current-period effect attributable to: Physical risk — mortgage book flood exposure.,True,modelled_estimate,True
FE-RISK-BANK03-2024-0008-ANT,BANK03,2024,risk,RISK-BANK03-2024-0008,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,anticipated,short_0_2yr,152.9,Anticipated short_0_2yr effect attributable to: Physical risk — mortgage book flood exposure.,True,modelled_estimate,True
FE-RISK-BANK03-2024-0003,BANK03,2024,risk,RISK-BANK03-2024-0003,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,current,long_5yr_plus,9.18,Current-period effect attributable to: Transition risk — building energy performance regulation.,False,modelled_estimate,True
FE-RISK-BANK03-2024-0003-ANT,BANK03,2024,risk,RISK-BANK03-2024-0003,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,anticipated,long_5yr_plus,91.8,Anticipated long_5yr_plus effect attributable to: Transition risk — building energy performance regulation.,False,modelled_estimate,True
FE-RISK-BANK04-2024-0001,BANK04,2024,risk,RISK-BANK04-2024-0001,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,current,medium_2_5yr,177.45,Current-period effect attributable to: Stranded assets — fossil fuel sector exposure.,False,modelled_estimate,True
FE-RISK-BANK04-2024-0001-ANT,BANK04,2024,risk,RISK-BANK04-2024-0001,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,anticipated,medium_2_5yr,1774.5,Anticipated medium_2_5yr effect attributable to: Stranded assets — fossil fuel sector exposure.,False,modelled_estimate,True
FE-RISK-BANK04-2024-0008,BANK04,2024,risk,RISK-BANK04-2024-0008,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,current,long_5yr_plus,42.34,Current-period effect attributable to: Transition risk — building energy performance regulation.,False,modelled_estimate,True
FE-RISK-BANK04-2024-0008-ANT,BANK04,2024,risk,RISK-BANK04-2024-0008,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,anticipated,long_5yr_plus,423.4,Anticipated long_5yr_plus effect attributable to: Transition risk — building energy performance regulation.,False,modelled_estimate,True
FE-RISK-BANK04-2024-0005,BANK04,2024,risk,RISK-BANK04-2024-0005,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,current,long_5yr_plus,23.18,Current-period effect attributable to: Physical risk — mortgage book flood exposure.,False,modelled_estimate,True
FE-RISK-BANK04-2024-0005-ANT,BANK04,2024,risk,RISK-BANK04-2024-0005,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,anticipated,long_5yr_plus,231.8,Anticipated long_5yr_plus effect attributable to: Physical risk — mortgage book flood exposure.,False,modelled_estimate,True
FE-RISK-BANK05-2024-0006,BANK05,2024,risk,RISK-BANK05-2024-0006,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,current,medium_2_5yr,11.81,Current-period effect attributable to: Transition risk — EV shift in auto lending.,False,modelled_estimate,True
FE-RISK-BANK05-2024-0006-ANT,BANK05,2024,risk,RISK-BANK05-2024-0006,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,anticipated,medium_2_5yr,118.1,Anticipated medium_2_5yr effect attributable to: Transition risk — EV shift in auto lending.,False,modelled_estimate,True
FE-RISK-BANK05-2024-0001,BANK05,2024,risk,RISK-BANK05-2024-0001,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,current,medium_2_5yr,8.89,Current-period effect attributable to: Physical risk — wildfire exposure in southern portfolio.,False,modelled_estimate,True
FE-RISK-BANK05-2024-0001-ANT,BANK05,2024,risk,RISK-BANK05-2024-0001,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,anticipated,medium_2_5yr,88.9,Anticipated medium_2_5yr effect attributable to: Physical risk — wildfire exposure in southern portfolio.,False,modelled_estimate,True
FE-RISK-BANK05-2024-0005,BANK05,2024,risk,RISK-BANK05-2024-0005,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,current,short_0_2yr,7.75,Current-period effect attributable to: Transition risk — carbon pricing on industrial loans.,False,modelled_estimate,True
FE-RISK-BANK05-2024-0005-ANT,BANK05,2024,risk,RISK-BANK05-2024-0005,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,anticipated,short_0_2yr,77.5,Anticipated short_0_2yr effect attributable to: Transition risk — carbon pricing on industrial loans.,False,modelled_estimate,True
FE-OPP-BANK01-01,BANK01,2024,opportunity,OPP-BANK01-01,income_statement,Net interest income - green and sustainability-linked lending,anticipated,medium_term,180.0,"Anticipated revenue opportunity: Expansion of green and sustainability-linked loan book aligned with EU Taxonomy, driven by corporate client transition financing demand.",False,estimate,True
FE-OPP-BANK02-01,BANK02,2024,opportunity,OPP-BANK02-01,income_statement,Net interest income - green and sustainability-linked lending,anticipated,medium_term,180.0,"Anticipated revenue opportunity: Expansion of green and sustainability-linked loan book aligned with EU Taxonomy, driven by corporate client transition financing demand.",False,estimate,True
FE-OPP-BANK03-01,BANK03,2024,opportunity,OPP-BANK03-01,income_statement,Net interest income - green and sustainability-linked lending,anticipated,medium_term,55.0,"Anticipated revenue opportunity: Growth of green SME lending under LMA Green Loan Principles, targeting energy-efficient commercial real estate and manufacturing retrofits.",False,estimate,True
FE-OPP-BANK04-01,BANK04,2024,opportunity,OPP-BANK04-01,income_statement,Net interest income - green and sustainability-linked lending,anticipated,short_term,210.0,Anticipated revenue opportunity: Core business expansion: EU Taxonomy-aligned green loans now represent 47% of loan book with strong pipeline growth from SFDR Article 9 fund clients.,False,estimate,True
FE-OPP-BANK05-04,BANK05,2024,opportunity,OPP-BANK05-04,income_statement,Net interest income - green and sustainability-linked lending,anticipated,long_term,18.0,"Anticipated revenue opportunity: Participation in Iberian solar project finance syndications alongside larger arranger banks, building renewable energy expertise.",False,estimate,True
