disclosure_id,standard,core_area,subtopic,paragraph_ref,requirement_summary,required_evidence,source_paragraph_ids,source_quote,is_climate_specific,priority,notes
S1_STRATEGY_34_01,IFRS_S1,Strategy,Unknown,IFRS S1 §34,Disclose the information required by IFRS S1 paragraph 34 under Strategy.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""34""]","An entity shall disclose information that enables users of general purpose financial reports to understand:

- (a) the effects of sustainability-related risks and opportunities on the entity ’ s financial position, financial performance and cash flows for the reporting period...",False,high,Deterministic row created from candidate paragraph; review recommended.
S1_STRATEGY_36_01,IFRS_S1,Strategy,Unknown,IFRS S1 §36,Disclose the information required by IFRS S1 paragraph 36 under Strategy.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""36""]","In providing quantitative information, an entity may disclose a single amount or a range.",False,high,Deterministic row created from candidate paragraph; review recommended.
S1_STRATEGY_41_01,IFRS_S1,Strategy,Unknown,IFRS S1 §41,Disclose the information required by IFRS S1 paragraph 41 under Strategy.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""41""]","An entity shall disclose information that enables users of general purpose financial reports to understand its capacity to adjust to the uncertainties arising from sustainability-related risks. An entity shall disclose a qualitative and, if applicable, quantitative assessment...",False,high,Deterministic row created from candidate paragraph; review recommended.
S1_STRATEGY_42_01,IFRS_S1,Strategy,Unknown,IFRS S1 §42,Disclose the information required by IFRS S1 paragraph 42 under Strategy.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""42""]","Other IFRS Sustainability Disclosure Standards may specify the type of information an entity is required to disclose about its resilience to specific sustainability-related risks and how to prepare those disclosures, including whether a _scenario analysis_ is required.

##...",False,high,Deterministic row created from candidate paragraph; review recommended.
S1_RISK_MANAGEMENT_46_01,IFRS_S1,Risk Management,"To achieve this objective, an entity shall disclose information about:",IFRS S1 §46,Disclose the information required by IFRS S1 paragraph 46 under Risk Management.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""46""]","**An entity shall disclose, for each sustainability-related risk and opportunity that could reasonably be expected to affect the entity** ’ **s prospects:**

- **(a) metrics required by an applicable IFRS Sustainability Disclosure Standard; and**

- **(b) metrics the entity...",False,high,Deterministic row created from candidate paragraph; review recommended.
S1_RISK_MANAGEMENT_50_01,IFRS_S1,Risk Management,"To achieve this objective, an entity shall disclose information about:",IFRS S1 §50,Disclose the information required by IFRS S1 paragraph 50 under Risk Management.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""50""]","If a metric has been developed by an entity, the entity shall disclose information about:

- (a) how the metric is defined, including whether it is derived by adjusting a metric taken from a source other than IFRS Sustainability Disclosure Standards and, if so, which source and...",False,high,Deterministic row created from candidate paragraph; review recommended.
S1_GENERAL_REQUIREMENTS_61_01,IFRS_S1,General Requirements,"To achieve this objective, an entity shall disclose information about:",IFRS S1 §61,Disclose the information required by IFRS S1 paragraph 61 under General Requirements.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""61""]","Subject to any regulation or other requirements that apply to an entity, there are various possible locations in its general purpose financial reports in which to disclose sustainability-related financial information. Sustainability-related financial disclosures could be...",False,medium,Deterministic row created from candidate paragraph; review recommended.
S1_GENERAL_REQUIREMENTS_62_01,IFRS_S1,General Requirements,"To achieve this objective, an entity shall disclose information about:",IFRS S1 §62,Disclose the information required by IFRS S1 paragraph 62 under General Requirements.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""62""]","An entity may disclose information required by an IFRS Sustainability Disclosure Standard in the same location as information disclosed to meet other requirements, such as information required by regulators. The entity shall ensure that the sustainability-related financial...",False,medium,Deterministic row created from candidate paragraph; review recommended.
S1_GENERAL_REQUIREMENTS_66_01,IFRS_S1,General Requirements,"To achieve this objective, an entity shall disclose information about:",IFRS S1 §66,Disclose the information required by IFRS S1 paragraph 66 under General Requirements.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""66""]","When an entity changes the end of its reporting period and provides sustainability-related financial disclosures for a period longer or shorter than 12 months, it shall disclose:

- (a) the period covered by the sustainability-related financial disclosures;

- (b) the reason...",False,medium,Deterministic row created from candidate paragraph; review recommended.
S1_STRATEGY_68_01,IFRS_S1,Strategy,"To achieve this objective, an entity shall disclose information about:",IFRS S1 §68,Disclose the information required by IFRS S1 paragraph 68 under Strategy.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""68""]","An entity shall disclose information about transactions, other events and conditions that occur after the end of the reporting period, but before the date on which the sustainability-related financial disclosures are authorised for issue, if non-disclosure of that information...",False,high,Deterministic row created from candidate paragraph; review recommended.
S1_STRATEGY_74_01,IFRS_S1,Strategy,"To achieve this objective, an entity shall disclose information about:",IFRS S1 §74,Disclose the information required by IFRS S1 paragraph 74 under Strategy.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""74""]","**An entity shall disclose information to enable users of general purpose financial reports to understand the judgements, apart from those involving estimations of amounts (see paragraph 77), that the entity has made in the process of preparing its sustainability-related...",False,high,Deterministic row created from candidate paragraph; review recommended.
S1_GENERAL_REQUIREMENTS_76_01,IFRS_S1,General Requirements,"To achieve this objective, an entity shall disclose information about:",IFRS S1 §76,Disclose the information required by IFRS S1 paragraph 76 under General Requirements.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""76""]","Other IFRS Sustainability Disclosure Standards may require disclosure of some of the information that an entity would otherwise be required to disclose in accordance with paragraph 74.

## **Measurement uncertainty**",False,medium,Deterministic row created from candidate paragraph; review recommended.
S1_STRATEGY_77_01,IFRS_S1,Strategy,"To achieve this objective, an entity shall disclose information about:",IFRS S1 §77,Disclose the information required by IFRS S1 paragraph 77 under Strategy.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""77""]","**An entity shall disclose information to enable users of general purpose financial reports to understand the most significant uncertainties affecting the amounts reported in its sustainability-related financial disclosures.**

78

## **An entity shall:**

- **(a) identify the...",False,high,Deterministic row created from candidate paragraph; review recommended.
S1_GENERAL_REQUIREMENTS_B1_01,IFRS_S1,General Requirements,"To achieve this objective, an entity shall disclose information about:",IFRS S1 §B1,Disclose the information required by IFRS S1 paragraph B1 under General Requirements.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""B1""]","This Standard requires an entity to disclose information about all sustainability-related risks and opportunities that could reasonably be expected to affect the entity ’ s cash flows, its access to finance or cost of capital over the short, medium or long term (referred to as...",False,medium,Deterministic row created from candidate paragraph; review recommended.
S1_GENERAL_REQUIREMENTS_B13_01,IFRS_S1,General Requirements,"To achieve this objective, an entity shall disclose information about:",IFRS S1 §B13,Disclose the information required by IFRS S1 paragraph B13 under General Requirements.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""B13""]","Paragraph 17 requires an entity to disclose material information about the sustainability-related risks and opportunities that could reasonably be expected to affect the entity ’ s prospects. Materiality of information is judged in relation to whether omitting, misstating or...",False,medium,Deterministic row created from candidate paragraph; review recommended.
S1_GENERAL_REQUIREMENTS_B25_01,IFRS_S1,General Requirements,"To achieve this objective, an entity shall disclose information about:",IFRS S1 §B25,Disclose the information required by IFRS S1 paragraph B25 under General Requirements.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""B25""]",An entity need not disclose information otherwise required by an IFRS Sustainability Disclosure Standard if the information is not material. This is the case even if the IFRS Sustainability Disclosure Standard contains a list of specific requirements or describes them as...,False,medium,Deterministic row created from candidate paragraph; review recommended.
S1_GENERAL_REQUIREMENTS_B26_01,IFRS_S1,General Requirements,"To achieve this objective, an entity shall disclose information about:",IFRS S1 §B26,Disclose the information required by IFRS S1 paragraph B26 under General Requirements.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""B26""]",An entity shall disclose additional information when compliance with the specifically applicable requirements in an IFRS Sustainability Disclosure Standard is insufficient to enable users of general purpose financial reports to understand the effects of sustainability-related...,False,medium,Deterministic row created from candidate paragraph; review recommended.
S1_GENERAL_REQUIREMENTS_B29_01,IFRS_S1,General Requirements,"To achieve this objective, an entity shall disclose information about:",IFRS S1 §B29,Disclose the information required by IFRS S1 paragraph B29 under General Requirements.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""B29""]","When an entity applies IFRS Sustainability Disclosure Standards, it shall consider all facts and circumstances and decide how to aggregate and disaggregate information in its sustainability-related financial disclosures. The entity shall not reduce the understandability of its...",False,medium,Deterministic row created from candidate paragraph; review recommended.
S1_GENERAL_REQUIREMENTS_B32_01,IFRS_S1,General Requirements,"To achieve this objective, an entity shall disclose information about:",IFRS S1 §B32,Disclose the information required by IFRS S1 paragraph B32 under General Requirements.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""B32""]","An entity shall disclose material sustainability-related financial information, even if law or regulation permits the entity not to disclose such information.",False,medium,Deterministic row created from candidate paragraph; review recommended.
S1_RISK_MANAGEMENT_B33_01,IFRS_S1,Risk Management,"To achieve this objective, an entity shall disclose information about:",IFRS S1 §B33,Disclose the information required by IFRS S1 paragraph B33 under Risk Management.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""B33""]","An entity need not disclose information otherwise required by an IFRS Sustainability Disclosure Standard if law or regulation prohibits the entity from disclosing that information. If an entity omits material information for that reason, it shall identify the type of...",False,high,Deterministic row created from candidate paragraph; review recommended.
S1_GOVERNANCE_B34_01,IFRS_S1,Governance,"To achieve this objective, an entity shall disclose information about:",IFRS S1 §B34,Disclose the information required by IFRS S1 paragraph B34 under Governance.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""B34""]","If an entity determines that information about a sustainability-related opportunity is commercially sensitive in the limited circumstances described in paragraph B35, the entity is permitted to omit that information from its sustainability-related financial disclosures. Such an...",False,high,Deterministic row created from candidate paragraph; review recommended.
S1_GENERAL_REQUIREMENTS_B42_01,IFRS_S1,General Requirements,"To achieve this objective, an entity shall disclose information about:",IFRS S1 §B42,Disclose the information required by IFRS S1 paragraph B42 under General Requirements.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""B42""]","Drawing connections between disclosures involves, but is not limited to, providing necessary explanations and cross-references and using consistent data, assumptions, and units of measure. In providing connected information, an entity shall:

- (a) explain connections between...",False,medium,Deterministic row created from candidate paragraph; review recommended.
S1_METRICS_AND_TARGETS_B49_01,IFRS_S1,Metrics and Targets,"To achieve this objective, an entity shall disclose information about:",IFRS S1 §B49,Disclose the information required by IFRS S1 paragraph B49 under Metrics and Targets.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""B49""]","Paragraph 70 requires an entity to disclose comparative information in respect of the preceding period for all amounts disclosed in the reporting period.

## **Metrics**",False,high,Deterministic row created from candidate paragraph; review recommended.
S1_GENERAL_REQUIREMENTS_B50_01,IFRS_S1,General Requirements,"To achieve this objective, an entity shall disclose information about:",IFRS S1 §B50,Disclose the information required by IFRS S1 paragraph B50 under General Requirements.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""B50""]","In some cases, the amount disclosed for a metric is an estimate. Except as specified in paragraph B51, if an entity identifies new information in relation to the estimated amount disclosed in the preceding period and the new information provides evidence of circumstances that...",False,medium,Deterministic row created from candidate paragraph; review recommended.
S1_METRICS_AND_TARGETS_B51_01,IFRS_S1,Metrics and Targets,"To achieve this objective, an entity shall disclose information about:",IFRS S1 §B51,Disclose the information required by IFRS S1 paragraph B51 under Metrics and Targets.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""B51""]","In applying the requirement in paragraph B50, an entity need not disclose a revised comparative amount:

- (a) if it is impracticable to do so (see paragraph B54).

- (b) if the metric is forward-looking. Forward-looking metrics relate to possible future transactions, events...",False,high,Deterministic row created from candidate paragraph; review recommended.
S1_GENERAL_REQUIREMENTS_B52_01,IFRS_S1,General Requirements,"To achieve this objective, an entity shall disclose information about:",IFRS S1 §B52,Disclose the information required by IFRS S1 paragraph B52 under General Requirements.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""B52""]","If an entity redefines or replaces a metric in the reporting period, the entity shall:

- (a) disclose a revised comparative amount, unless it is impracticable to do so;

- (b) explain the changes; and

- (c) explain the reasons for those changes, including why the redefined or...",False,medium,Deterministic row created from candidate paragraph; review recommended.
S1_GENERAL_REQUIREMENTS_B53_01,IFRS_S1,General Requirements,"To achieve this objective, an entity shall disclose information about:",IFRS S1 §B53,Disclose the information required by IFRS S1 paragraph B53 under General Requirements.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""B53""]","If an entity introduces a new metric in the reporting period, it shall disclose a comparative amount for that metric unless it is impracticable to do so.",False,medium,Deterministic row created from candidate paragraph; review recommended.
S1_GENERAL_REQUIREMENTS_B54_01,IFRS_S1,General Requirements,"To achieve this objective, an entity shall disclose information about:",IFRS S1 §B54,Disclose the information required by IFRS S1 paragraph B54 under General Requirements.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""B54""]","Sometimes, it is impracticable to revise a comparative amount to achieve comparability with the reporting period. For example, data might not have been collected in the preceding period in a way that allows retrospective application of a new definition of a metric, and it might...",False,medium,Deterministic row created from candidate paragraph; review recommended.
S1_GENERAL_REQUIREMENTS_B58_01,IFRS_S1,General Requirements,"To achieve this objective, an entity shall disclose information about:",IFRS S1 §B58,Disclose the information required by IFRS S1 paragraph B58 under General Requirements.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""B58""]","If an entity identifies a material error in its prior period(s) sustainabilityrelated financial disclosures, it shall disclose:

- (a) the nature of the prior period error;

- (b) the correction, to the extent practicable, for each prior period disclosed; and

- (c) if...",False,medium,Deterministic row created from candidate paragraph; review recommended.
S1_RISK_MANAGEMENT_D32_01,IFRS_S1,Risk Management,"To achieve this objective, an entity shall disclose information about:",IFRS S1 §D32,Disclose the information required by IFRS S1 paragraph D32 under Risk Management.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""D32""]","If sustainability-related risks and opportunities located in one part of an entity ’ s general purpose financial reports have implications for information disclosed in other parts, the entity shall include the information necessary for users to assess those implications. D33...",False,high,Deterministic row created from candidate paragraph; review recommended.
S1_GOVERNANCE_E3_01,IFRS_S1,Governance,"To achieve this objective, an entity shall disclose information about:",IFRS S1 §E3,Disclose the information required by IFRS S1 paragraph E3 under Governance.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""E3""]","An entity is not required to provide the disclosures specified in this Standard for any period before the date of initial application. Accordingly, an entity is not required to disclose comparative information in the first annual reporting period in which it applies this...",False,high,Deterministic row created from candidate paragraph; review recommended.
S2_STRATEGY_13_01,IFRS_S2,Strategy,Unknown,IFRS S2 §13,Disclose the information required by IFRS S2 paragraph 13 under Strategy.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""13""]","An entity shall disclose information that enables users of general purpose financial reports to understand the current and anticipated effects of climaterelated risks and opportunities on the entity ’ s business model and value chain. Specifically, the entity shall disclose:

-...",True,high,Deterministic row created from candidate paragraph; review recommended.
S2_STRATEGY_14_01,IFRS_S2,Strategy,Unknown,IFRS S2 §14,Disclose the information required by IFRS S2 paragraph 14 under Strategy.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""14""]","An entity shall disclose information that enables users of general purpose financial reports to understand the effects of climate-related risks and opportunities on its strategy and decision-making. Specifically, the entity shall disclose:

- (a) information about how the...",True,high,Deterministic row created from candidate paragraph; review recommended.
S2_STRATEGY_16_01,IFRS_S2,Strategy,Unknown,IFRS S2 §16,Disclose the information required by IFRS S2 paragraph 16 under Strategy.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""16""]","Specifically, an entity shall disclose quantitative and qualitative information about:

- (a) how climate-related risks and opportunities have affected its financial position, financial performance and cash flows for the reporting period;

- (b) the climate-related risks and...",True,high,Deterministic row created from candidate paragraph; review recommended.
S2_GOVERNANCE_23_01,IFRS_S2,Governance,"To achieve this objective, an entity shall disclose information about:",IFRS S2 §23,Disclose the information required by IFRS S2 paragraph 23 under Governance.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""23""]","In preparing disclosures to meet the requirements in paragraphs 13 – 22, an entity shall refer to and consider the applicability of cross-industry metric categories, as described in paragraph 29, and industry-based metrics associated with disclosure topics defined in the...",True,high,Deterministic row created from candidate paragraph; review recommended.
S2_GOVERNANCE_29_01,IFRS_S2,Governance,"To achieve this objective, an entity shall disclose information about:",IFRS S2 §29,Disclose the information required by IFRS S2 paragraph 29 under Governance.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""29""]","An entity shall disclose information relevant to the cross-industry metric categories of:

-

- (a) _greenhouse gases_ the entity shall:

- (i) disclose its absolute gross greenhouse gas emissions generated during the reporting period, expressed as metric tonnes of _CO2_ –

-...",True,high,Deterministic row created from candidate paragraph; review recommended.
S2_METRICS_AND_TARGETS_29B_01,IFRS_S2,Metrics and Targets,"To achieve this objective, an entity shall disclose information about:",IFRS S2 §29B,Disclose the information required by IFRS S2 paragraph 29B under Metrics and Targets.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""29B""]","If an entity applies the limitation in paragraph 29A, the entity shall:

- (a) explain what it has treated as a derivative to enable users of general purpose financial reports to understand how it applied the limitation. For example, the entity could explain that, in applying...",True,high,Deterministic row created from candidate paragraph; review recommended.
S2_STRATEGY_32_01,IFRS_S2,Strategy,"To achieve this objective, an entity shall disclose information about:",IFRS S2 §32,Disclose the information required by IFRS S2 paragraph 32 under Strategy.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""32""]","An entity shall disclose industry-based metrics that are associated with one or more particular business models, activities or other common features that characterise participation in an industry. In determining the industry-based metrics that the entity discloses, the entity...",True,high,Deterministic row created from candidate paragraph; review recommended.
S2_RISK_MANAGEMENT_33_01,IFRS_S2,Risk Management,"To achieve this objective, an entity shall disclose information about:",IFRS S2 §33,Disclose the information required by IFRS S2 paragraph 33 under Risk Management.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""33""]","An entity shall disclose the quantitative and qualitative climate-related targets it has set to monitor progress towards achieving its strategic goals, and any targets it is required to meet by law or regulation, including any greenhouse gas emissions targets. For each target,...",True,high,Deterministic row created from candidate paragraph; review recommended.
S2_STRATEGY_B2_01,IFRS_S2,Strategy,"To achieve this objective, an entity shall disclose information about:",IFRS S2 §B2,Disclose the information required by IFRS S2 paragraph B2 under Strategy.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""B2""]","An entity shall use an approach to climate-related scenario analysis that is commensurate with its circumstances as at the time the entity carries out its climate-related scenario analysis (see paragraph B3). To assess its circumstances the entity shall consider:

- (a) the...",True,high,Deterministic row created from candidate paragraph; review recommended.
S2_STRATEGY_B19_01,IFRS_S2,Strategy,"To achieve this objective, an entity shall disclose information about:",IFRS S2 §B19,Disclose the information required by IFRS S2 paragraph B19 under Strategy.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""B19""]",An entity might have a different reporting period from some or all of the entities in its value chain. Such a difference would mean that greenhouse gas emissions information from these entities in its value chain for the entity ’ s reporting period might not be readily...,True,high,Deterministic row created from candidate paragraph; review recommended.
S2_METRICS_AND_TARGETS_B20_01,IFRS_S2,Metrics and Targets,"To achieve this objective, an entity shall disclose information about:",IFRS S2 §B20,Disclose the information required by IFRS S2 paragraph B20 under Metrics and Targets.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""B20""]","Paragraph 29(a) requires an entity to disclose its absolute gross greenhouse gas emissions generated during the reporting period, expressed as metric tonnes of CO2 equivalent. To meet this requirement, the entity shall aggregate the seven constituent greenhouse gases into CO2...",True,high,Deterministic row created from candidate paragraph; review recommended.
S2_RISK_MANAGEMENT_B21_01,IFRS_S2,Risk Management,"To achieve this objective, an entity shall disclose information about:",IFRS S2 §B21,Disclose the information required by IFRS S2 paragraph B21 under Risk Management.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""B21""]","If an entity uses direct measurement to measure its greenhouse gas emissions, the entity is required to convert the seven constituent greenhouse gases into a CO2 equivalent value using global warming potential values based on a 100 ‑ year time horizon, from the latest...",True,high,Deterministic row created from candidate paragraph; review recommended.
