company_id,reporting_year,scenario_analysis_used,scenario_1_name,scenario_2_name,scenario_1_temperature_pathway,scenario_2_temperature_pathway,short_term_horizon,medium_term_horizon,long_term_horizon,business_scope_covered,analysis_source_type,key_assumptions_summary,resilience_assessment_conclusion,scenario_analysis_note,source_document_name,source_document_type
C003,2020,False,,,,,,,,,,,,No formal scenario analysis identified for the reporting year.,Scenario Analysis Pack 2020,climate resilience assessment
C003,2021,True,IEA NZE 2050,NGFS Orderly Transition,2.0C,3.0C+,2026,2030,2050,own operations only,climate stress testing model,higher physical climate losses; technology adoption acceleration; customer demand shift,business model resilient under orderly transition,"Scenario analysis considered IEA NZE 2050 and NGFS Orderly Transition across short-, medium-, and long-term horizons.",Scenario Analysis Pack 2021,climate resilience assessment
C003,2022,True,IPCC SSP2-4.5,NGFS Orderly Transition,1.7C,3.0C+,2027,2035,2040,portfolio / financed activities,climate stress testing model,asset impairment pressure; insurance cost escalation; policy tightening,significant vulnerability under high warming scenario,"Scenario analysis considered IPCC SSP2-4.5 and NGFS Orderly Transition across short-, medium-, and long-term horizons.",Scenario Analysis Pack 2022,scenario analysis memo
C003,2023,True,IEA STEPS,IPCC SSP2-4.5,2.0C,2.5C,2025,2030,2050,own operations only,internal scenario analysis,higher physical climate losses; customer demand shift; asset impairment pressure,resilience depends on accelerated mitigation actions,"Scenario analysis considered IEA STEPS and IPCC SSP2-4.5 across short-, medium-, and long-term horizons.",Scenario Analysis Pack 2023,scenario analysis memo
C003,2024,True,IPCC SSP2-4.5,IEA NZE 2050,1.7C,2.5C,2026,2035,2040,operations and supply chain,climate stress testing model,higher physical climate losses; energy price volatility; insurance cost escalation,high uncertainty with mixed resilience across business units,"Scenario analysis considered IPCC SSP2-4.5 and IEA NZE 2050 across short-, medium-, and long-term horizons.",Scenario Analysis Pack 2024,scenario analysis memo
C004,2020,True,NGFS Delayed Transition,IPCC SSP1-1.9,2.0C,2.0C,2026,2030,2040,selected high-risk assets only,enterprise risk team assessment,policy tightening; customer demand shift; carbon price increase,resilience depends on accelerated mitigation actions,"Scenario analysis considered NGFS Delayed Transition and IPCC SSP1-1.9 across short-, medium-, and long-term horizons.",Scenario Analysis Pack 2020,strategy and resilience working paper
C004,2021,False,,,,,,,,,,,,No formal scenario analysis identified for the reporting year.,Scenario Analysis Pack 2021,climate resilience assessment
C004,2022,True,NGFS Orderly Transition,IPCC SSP1-1.9,1.7C,3.0C+,2026,2035,2050,portfolio / financed activities,external consultant study,asset impairment pressure; carbon price increase; energy price volatility,resilience depends on accelerated mitigation actions,"Scenario analysis considered NGFS Orderly Transition and IPCC SSP1-1.9 across short-, medium-, and long-term horizons.",Scenario Analysis Pack 2022,strategy and resilience working paper
C004,2023,True,NGFS Hot House World,NGFS Orderly Transition,2.0C,2.5C,2025,2035,2050,own operations only,internal scenario analysis,asset impairment pressure; insurance cost escalation; higher physical climate losses,high uncertainty with mixed resilience across business units,"Scenario analysis considered NGFS Hot House World and NGFS Orderly Transition across short-, medium-, and long-term horizons.",Scenario Analysis Pack 2023,climate resilience assessment
C004,2024,True,NGFS Orderly Transition,IEA STEPS,2.0C,2.0C,2027,2035,2040,own operations only,internal scenario analysis,asset impairment pressure; carbon price increase; policy tightening,significant vulnerability under high warming scenario,"Scenario analysis considered NGFS Orderly Transition and IEA STEPS across short-, medium-, and long-term horizons.",Scenario Analysis Pack 2024,climate stress test output
