node_id,bank_id,node_name,node_type,upstream_downstream,sustainability_theme,climate_exposure_type,materiality_flag,climate_risk_description,financial_exposure_meur,nace_link,scope3_category,ifrs_s2_para_evidence
VC-BANK01-0016,BANK01,Corporate borrowers — Air transport,financing_counterparty,downstream,climate_transition,transition_policy,True,Lending to Air transport carries elevated transition risk from carbon pricing and demand shifts.,1548.11,H51,Cat.15,§13(a)
VC-BANK02-0001,BANK02,Own banking operations — buildings,own_operations,own,climate_physical,physical_chronic,True,Operational sites and travel generate Scope 1-2 emissions and face physical disruption.,,L68,,§13(a)
VC-BANK02-0002,BANK02,Corporate fleet & business travel,own_operations,own,climate_transition,transition_market,True,Operational sites and travel generate Scope 1-2 emissions and face physical disruption.,,H49,Cat.6,§13(a)
VC-BANK02-0003,BANK02,Employee commuting,downstream_customer,downstream,environmental_other,none,False,,,,Cat.7,§13(a)
VC-BANK02-0004,BANK02,IT infrastructure & cloud providers,upstream_supplier,upstream,environmental_other,none,False,,144.03,J62,Cat.1,§13(a)
VC-BANK02-0005,BANK02,Office space landlords,upstream_supplier,upstream,environmental_other,none,False,,322.19,L68,Cat.2,§13(a)
VC-BANK02-0006,BANK02,Professional services suppliers,upstream_supplier,upstream,environmental_other,none,False,,466.98,M70,Cat.1,§13(a)
VC-BANK02-0007,BANK02,Corporate borrowers — Manufacture of other transport equipment,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Manufacture of other transport equipment subject to moderate physical and transition risk.,3052.19,C30,Cat.15,§13(a)
VC-BANK02-0008,BANK02,Corporate borrowers — Warehousing and support transport,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Warehousing and support transport subject to moderate physical and transition risk.,2200.58,H52,Cat.15,§13(a)
VC-BANK02-0009,BANK02,Corporate borrowers — Land transport (road & rail),financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Land transport (road & rail) subject to moderate physical and transition risk.,2109.69,H49,Cat.15,§13(a)
VC-BANK02-0010,BANK02,Corporate borrowers — Manufacture of textiles,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Manufacture of textiles subject to moderate physical and transition risk.,1516.09,C13,Cat.15,§13(a)
VC-BANK02-0011,BANK02,Corporate borrowers — Human health activities,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Human health activities subject to moderate physical and transition risk.,1468.15,Q86,Cat.15,§13(a)
VC-BANK02-0012,BANK02,"Corporate borrowers — Electricity, gas, steam supply",financing_counterparty,downstream,climate_transition,transition_policy,True,"Lending to Electricity, gas, steam supply carries elevated transition risk from carbon pricing and demand shifts.",1310.71,D35,Cat.15,§13(a)
VC-BANK02-0013,BANK02,Corporate borrowers — Food and beverage service,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Food and beverage service subject to moderate physical and transition risk.,1268.98,I56,Cat.15,§13(a)
VC-BANK02-0014,BANK02,Corporate borrowers — Manufacture of fabricated metal,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Manufacture of fabricated metal subject to moderate physical and transition risk.,1175.32,C25,Cat.15,§13(a)
VC-BANK02-0015,BANK02,Corporate borrowers — Civil engineering,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Civil engineering subject to moderate physical and transition risk.,879.48,F42,Cat.15,§13(a)
VC-BANK02-0016,BANK02,Corporate borrowers — Forestry and logging,financing_counterparty,downstream,climate_transition,transition_policy,True,Lending to Forestry and logging carries elevated transition risk from carbon pricing and demand shifts.,758.36,A02,Cat.15,§13(a)
VC-BANK03-0001,BANK03,Own banking operations — buildings,own_operations,own,climate_physical,physical_chronic,True,Operational sites and travel generate Scope 1-2 emissions and face physical disruption.,,L68,,§13(a)
VC-BANK03-0002,BANK03,Corporate fleet & business travel,own_operations,own,climate_transition,transition_market,True,Operational sites and travel generate Scope 1-2 emissions and face physical disruption.,,H49,Cat.6,§13(a)
VC-BANK03-0003,BANK03,Employee commuting,downstream_customer,downstream,environmental_other,none,False,,,,Cat.7,§13(a)
VC-BANK03-0004,BANK03,IT infrastructure & cloud providers,upstream_supplier,upstream,environmental_other,none,False,,75.85,J62,Cat.1,§13(a)
VC-BANK03-0005,BANK03,Office space landlords,upstream_supplier,upstream,environmental_other,none,False,,27.77,L68,Cat.2,§13(a)
VC-BANK03-0006,BANK03,Professional services suppliers,upstream_supplier,upstream,environmental_other,none,False,,83.96,M70,Cat.1,§13(a)
VC-BANK03-0007,BANK03,Corporate borrowers — Residential care activities,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Residential care activities subject to moderate physical and transition risk.,3880.3,Q87,Cat.15,§13(a)
VC-BANK03-0008,BANK03,Corporate borrowers — Management consultancy,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Management consultancy subject to moderate physical and transition risk.,1944.32,M70,Cat.15,§13(a)
VC-BANK03-0009,BANK03,"Corporate borrowers — Water collection, treatment, supply",financing_counterparty,downstream,climate_physical,physical_chronic,True,"Exposure to Water collection, treatment, supply subject to moderate physical and transition risk.",1877.65,E36,Cat.15,§13(a)
VC-BANK03-0010,BANK03,Corporate borrowers — Manufacture of food products,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Manufacture of food products subject to moderate physical and transition risk.,1867.91,C10,Cat.15,§13(a)
VC-BANK03-0011,BANK03,Corporate borrowers — Other mining and quarrying,financing_counterparty,downstream,climate_transition,transition_policy,True,Lending to Other mining and quarrying carries elevated transition risk from carbon pricing and demand shifts.,1832.21,B08,Cat.15,§13(a)
VC-BANK03-0012,BANK03,Corporate borrowers — Manufacture of other transport equipment,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Manufacture of other transport equipment subject to moderate physical and transition risk.,1737.92,C30,Cat.15,§13(a)
VC-BANK03-0013,BANK03,Corporate borrowers — Employment activities,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Employment activities subject to moderate physical and transition risk.,1369.42,N78,Cat.15,§13(a)
VC-BANK03-0014,BANK03,Corporate borrowers — Construction of buildings,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Construction of buildings subject to moderate physical and transition risk.,1367.47,F41,Cat.15,§13(a)
VC-BANK03-0015,BANK03,Corporate borrowers — Wholesale & retail trade of motor vehicles,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Wholesale & retail trade of motor vehicles subject to moderate physical and transition risk.,1156.44,G45,Cat.15,§13(a)
VC-BANK03-0016,BANK03,Corporate borrowers — Manufacture of chemicals,financing_counterparty,downstream,climate_transition,transition_policy,True,Lending to Manufacture of chemicals carries elevated transition risk from carbon pricing and demand shifts.,1126.91,C20,Cat.15,§13(a)
VC-BANK04-0001,BANK04,Own banking operations — buildings,own_operations,own,climate_physical,physical_chronic,True,Operational sites and travel generate Scope 1-2 emissions and face physical disruption.,,L68,,§13(a)
VC-BANK04-0002,BANK04,Corporate fleet & business travel,own_operations,own,climate_transition,transition_market,True,Operational sites and travel generate Scope 1-2 emissions and face physical disruption.,,H49,Cat.6,§13(a)
VC-BANK04-0003,BANK04,Employee commuting,downstream_customer,downstream,environmental_other,none,False,,,,Cat.7,§13(a)
VC-BANK04-0004,BANK04,IT infrastructure & cloud providers,upstream_supplier,upstream,environmental_other,none,False,,13.02,J62,Cat.1,§13(a)
VC-BANK04-0005,BANK04,Office space landlords,upstream_supplier,upstream,environmental_other,none,False,,5.98,L68,Cat.2,§13(a)
VC-BANK04-0006,BANK04,Professional services suppliers,upstream_supplier,upstream,environmental_other,none,False,,4.78,M70,Cat.1,§13(a)
VC-BANK04-0007,BANK04,Corporate borrowers — Architectural & engineering activities,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Architectural & engineering activities subject to moderate physical and transition risk.,2004.13,M71,Cat.15,§13(a)
VC-BANK04-0008,BANK04,Corporate borrowers — Manufacture of textiles,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Manufacture of textiles subject to moderate physical and transition risk.,1064.46,C13,Cat.15,§13(a)
VC-BANK04-0009,BANK04,Corporate borrowers — Manufacture of rubber and plastic,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Manufacture of rubber and plastic subject to moderate physical and transition risk.,1060.43,C22,Cat.15,§13(a)
VC-BANK04-0010,BANK04,Corporate borrowers — Food and beverage service,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Food and beverage service subject to moderate physical and transition risk.,997.99,I56,Cat.15,§13(a)
VC-BANK04-0011,BANK04,Corporate borrowers — Publishing activities,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Publishing activities subject to moderate physical and transition risk.,901.33,J58,Cat.15,§13(a)
VC-BANK04-0012,BANK04,Corporate borrowers — Information service activities,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Information service activities subject to moderate physical and transition risk.,619.98,J63,Cat.15,§13(a)
VC-BANK04-0013,BANK04,Corporate borrowers — Insurance,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Insurance subject to moderate physical and transition risk.,509.58,K65,Cat.15,§13(a)
VC-BANK04-0014,BANK04,Corporate borrowers — Wholesale trade,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Wholesale trade subject to moderate physical and transition risk.,418.6,G46,Cat.15,§13(a)
VC-BANK04-0015,BANK04,Corporate borrowers — Manufacture of electrical equipment,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Manufacture of electrical equipment subject to moderate physical and transition risk.,265.73,C27,Cat.15,§13(a)
VC-BANK04-0016,BANK04,Corporate borrowers — Computer programming & IT services,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Computer programming & IT services subject to moderate physical and transition risk.,237.33,J62,Cat.15,§13(a)
VC-BANK05-0001,BANK05,Own banking operations — buildings,own_operations,own,climate_physical,physical_chronic,True,Operational sites and travel generate Scope 1-2 emissions and face physical disruption.,,L68,,§13(a)
VC-BANK05-0002,BANK05,Corporate fleet & business travel,own_operations,own,climate_transition,transition_market,True,Operational sites and travel generate Scope 1-2 emissions and face physical disruption.,,H49,Cat.6,§13(a)
VC-BANK05-0003,BANK05,Employee commuting,downstream_customer,downstream,environmental_other,none,False,,,,Cat.7,§13(a)
VC-BANK05-0004,BANK05,IT infrastructure & cloud providers,upstream_supplier,upstream,environmental_other,none,False,,16.29,J62,Cat.1,§13(a)
VC-BANK05-0005,BANK05,Office space landlords,upstream_supplier,upstream,environmental_other,none,False,,17.31,L68,Cat.2,§13(a)
VC-BANK05-0006,BANK05,Professional services suppliers,upstream_supplier,upstream,environmental_other,none,False,,7.96,M70,Cat.1,§13(a)
VC-BANK05-0007,BANK05,Corporate borrowers — Manufacture of other transport equipment,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Manufacture of other transport equipment subject to moderate physical and transition risk.,3213.65,C30,Cat.15,§13(a)
VC-BANK05-0008,BANK05,Corporate borrowers — Manufacture of paper and paper products,financing_counterparty,downstream,climate_transition,transition_policy,True,Lending to Manufacture of paper and paper products carries elevated transition risk from carbon pricing and demand shifts.,1793.36,C17,Cat.15,§13(a)
VC-BANK05-0009,BANK05,Corporate borrowers — Warehousing and support transport,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Warehousing and support transport subject to moderate physical and transition risk.,1129.08,H52,Cat.15,§13(a)
VC-BANK05-0010,BANK05,Corporate borrowers — Extraction of crude petroleum and natural gas,financing_counterparty,downstream,climate_transition,transition_policy,True,Lending to Extraction of crude petroleum and natural gas carries elevated transition risk from carbon pricing and demand shifts.,827.8,B06,Cat.15,§13(a)
VC-BANK05-0011,BANK05,Corporate borrowers — Food and beverage service,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Food and beverage service subject to moderate physical and transition risk.,543.35,I56,Cat.15,§13(a)
VC-BANK05-0012,BANK05,Corporate borrowers — Air transport,financing_counterparty,downstream,climate_transition,transition_policy,True,Lending to Air transport carries elevated transition risk from carbon pricing and demand shifts.,529.73,H51,Cat.15,§13(a)
VC-BANK05-0013,BANK05,Corporate borrowers — Manufacture of chemicals,financing_counterparty,downstream,climate_transition,transition_policy,True,Lending to Manufacture of chemicals carries elevated transition risk from carbon pricing and demand shifts.,446.32,C20,Cat.15,§13(a)
VC-BANK05-0014,BANK05,"Corporate borrowers — Electricity, gas, steam supply",financing_counterparty,downstream,climate_transition,transition_policy,True,"Lending to Electricity, gas, steam supply carries elevated transition risk from carbon pricing and demand shifts.",434.58,D35,Cat.15,§13(a)
VC-BANK05-0015,BANK05,Corporate borrowers — Water transport,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Water transport subject to moderate physical and transition risk.,190.1,H50,Cat.15,§13(a)
VC-BANK05-0016,BANK05,Corporate borrowers — Forestry and logging,financing_counterparty,downstream,climate_transition,transition_policy,True,Lending to Forestry and logging carries elevated transition risk from carbon pricing and demand shifts.,176.93,A02,Cat.15,§13(a)
