scenario_id,bank_id,scenario_name,scenario_type,framework,temperature_outcome_c,horizon,horizon_year,physical_risk_loss_pct_capital,transition_risk_loss_pct_capital,high_risk_exposure_pct,stranded_assets_estimate_meur,paris_aligned_flag,revenue_at_risk_meur,carbon_price_assumption_eur_per_tco2e,gdp_growth_assumption_pct,renewable_energy_share_pct,technology_readiness,scope_of_analysis,analysis_conducted_year,methodology_notes,resilience_assessment
SCN0011,BANK01,Delayed Transition,disorderly,NGFS_v4,1.8,medium_term,2030,9.6,16.2,9.9,3083.9,False,2389.5,75.8,1.11,50.4,medium,"All banking book exposures across DE, FR, IT, NL, ES",2024,NGFS v4 Delayed Transition (disorderly) scenario applied to capture abrupt policy shift risk post-2030. Short-term physical risk assumed at RCP 2.6 level; transition risk shock applied as a step-change in carbon price in 2030. Particularly material for high-carbon sector exposures with medium-term loan maturities.,"Under disorderly transition scenarios, near-term resilience is acceptable but medium-term capital consumption from stranded asset impairments is material. The bank's current sector exposure limits and active portfolio decarbonisation glide-path monitoring are the primary resilience mechanisms. Additional capital buffers may be required post-2030 under the most adverse disorderly assumptions."
SCN0012,BANK01,Delayed Transition,disorderly,NGFS_v4,1.8,long_term,2050,18.2,22.2,25.0,7787.7,False,6034.1,76.8,1.57,66.8,medium,"All banking book exposures across DE, FR, IT, NL, ES",2024,NGFS v4 Delayed Transition (disorderly) scenario applied to capture abrupt policy shift risk post-2030. Short-term physical risk assumed at RCP 2.6 level; transition risk shock applied as a step-change in carbon price in 2030. Particularly material for high-carbon sector exposures with medium-term loan maturities.,"Under disorderly transition scenarios, near-term resilience is acceptable but medium-term capital consumption from stranded asset impairments is material. The bank's current sector exposure limits and active portfolio decarbonisation glide-path monitoring are the primary resilience mechanisms. Additional capital buffers may be required post-2030 under the most adverse disorderly assumptions."
SCN0013,BANK01,Nationally Determined Contributions,hot_house,NGFS_v4,2.5,short_term,2025,17.4,2.9,14.2,4423.4,False,3427.3,1.2,0.66,23.8,low,"All banking book exposures across DE, FR, IT, NL, ES",2024,NGFS v4 NDC scenario represents delayed but eventually strengthened policy action. Carbon pricing ramp-up assumed from 2030 onward based on Paris Agreement NDC submission trajectories. Revenue-at-risk computed from sector revenue sensitivity to carbon price at EUR/tCO2e levels specified in the scenario.,"Under hot house world scenarios, physical risk losses represent the dominant long-term resilience challenge. Collateral revaluation risk in flood-exposed mortgage books and agricultural borrower default risk from chronic heat stress are identified as the primary transmission channels. The bank's flood-zone overlay and EPC-based collateral monitoring are resilience mechanisms deployed for the 2050 horizon."
SCN0014,BANK01,Nationally Determined Contributions,hot_house,NGFS_v4,2.5,medium_term,2030,15.9,5.1,9.0,2803.6,False,2172.3,2.3,0.56,24.2,low,"All banking book exposures across DE, FR, IT, NL, ES",2024,NGFS v4 NDC scenario represents delayed but eventually strengthened policy action. Carbon pricing ramp-up assumed from 2030 onward based on Paris Agreement NDC submission trajectories. Revenue-at-risk computed from sector revenue sensitivity to carbon price at EUR/tCO2e levels specified in the scenario.,"Under hot house world scenarios, physical risk losses represent the dominant long-term resilience challenge. Collateral revaluation risk in flood-exposed mortgage books and agricultural borrower default risk from chronic heat stress are identified as the primary transmission channels. The bank's flood-zone overlay and EPC-based collateral monitoring are resilience mechanisms deployed for the 2050 horizon."
SCN0015,BANK01,Nationally Determined Contributions,hot_house,NGFS_v4,2.5,long_term,2050,24.6,3.3,29.8,9282.9,False,7192.6,11.5,0.98,34.7,low,"All banking book exposures across DE, FR, IT, NL, ES",2024,NGFS v4 NDC scenario represents delayed but eventually strengthened policy action. Carbon pricing ramp-up assumed from 2030 onward based on Paris Agreement NDC submission trajectories. Revenue-at-risk computed from sector revenue sensitivity to carbon price at EUR/tCO2e levels specified in the scenario.,"Under hot house world scenarios, physical risk losses represent the dominant long-term resilience challenge. Collateral revaluation risk in flood-exposed mortgage books and agricultural borrower default risk from chronic heat stress are identified as the primary transmission channels. The bank's flood-zone overlay and EPC-based collateral monitoring are resilience mechanisms deployed for the 2050 horizon."
SCN0016,BANK01,Current Policies,hot_house,NGFS_v4,3.0,short_term,2025,13.3,3.5,32.6,10155.1,False,7868.4,6.9,1.07,19.5,low,"All banking book exposures across DE, FR, IT, NL, ES",2024,"NGFS v4 Current Policies (hot house world) scenario used as the adverse baseline. Physical risk parameters sourced from NGFS chronic and acute hazard layers, downscaled to counterparty postcode and collateral location. RCP 8.5 physical risk projections used for 2050 horizon analysis.","Under hot house world scenarios, physical risk losses represent the dominant long-term resilience challenge. Collateral revaluation risk in flood-exposed mortgage books and agricultural borrower default risk from chronic heat stress are identified as the primary transmission channels. The bank's flood-zone overlay and EPC-based collateral monitoring are resilience mechanisms deployed for the 2050 horizon."
SCN0017,BANK01,Current Policies,hot_house,NGFS_v4,3.0,medium_term,2030,17.0,2.9,6.6,2055.9,False,1593.0,5.6,1.02,20.6,low,"All banking book exposures across DE, FR, IT, NL, ES",2024,"NGFS v4 Current Policies (hot house world) scenario used as the adverse baseline. Physical risk parameters sourced from NGFS chronic and acute hazard layers, downscaled to counterparty postcode and collateral location. RCP 8.5 physical risk projections used for 2050 horizon analysis.","Under hot house world scenarios, physical risk losses represent the dominant long-term resilience challenge. Collateral revaluation risk in flood-exposed mortgage books and agricultural borrower default risk from chronic heat stress are identified as the primary transmission channels. The bank's flood-zone overlay and EPC-based collateral monitoring are resilience mechanisms deployed for the 2050 horizon."
SCN0018,BANK01,Current Policies,hot_house,NGFS_v4,3.0,long_term,2050,32.0,3.8,21.3,6635.1,False,5141.0,16.9,0.87,25.9,low,"All banking book exposures across DE, FR, IT, NL, ES",2024,"NGFS v4 Current Policies (hot house world) scenario used as the adverse baseline. Physical risk parameters sourced from NGFS chronic and acute hazard layers, downscaled to counterparty postcode and collateral location. RCP 8.5 physical risk projections used for 2050 horizon analysis.","Under hot house world scenarios, physical risk losses represent the dominant long-term resilience challenge. Collateral revaluation risk in flood-exposed mortgage books and agricultural borrower default risk from chronic heat stress are identified as the primary transmission channels. The bank's flood-zone overlay and EPC-based collateral monitoring are resilience mechanisms deployed for the 2050 horizon."
SCN0019,BANK02,Net Zero 2050,orderly,NGFS_v4,1.5,short_term,2025,4.8,10.4,27.7,5439.9,True,5117.0,109.6,2.17,57.9,high,"All banking book exposures across DE, FR, IT, NL, ES",2024,"NGFS v4 Net Zero 2050 scenario applied to the banking book using a top-down sector-pathway approach. Carbon price assumptions from IEA NZE 2050 trajectory mapped to counterparty NACE sectors. Stranded asset estimates derived from sector-level fossil fuel capex exposure. Analysis scope covers all lending book exposures across DE, FR, IT, NL, ES jurisdictions.","Under orderly transition scenarios, the portfolio demonstrates adequate resilience. Transition risk losses remain within Pillar 2 capital buffer thresholds. Green loan growth and client engagement on transition plans are expected to progressively reduce high-carbon sector concentration over the medium term."
SCN0020,BANK02,Net Zero 2050,orderly,NGFS_v4,1.5,medium_term,2030,5.6,11.1,23.7,4654.4,True,4378.1,110.2,2.45,56.8,high,"All banking book exposures across DE, FR, IT, NL, ES",2024,"NGFS v4 Net Zero 2050 scenario applied to the banking book using a top-down sector-pathway approach. Carbon price assumptions from IEA NZE 2050 trajectory mapped to counterparty NACE sectors. Stranded asset estimates derived from sector-level fossil fuel capex exposure. Analysis scope covers all lending book exposures across DE, FR, IT, NL, ES jurisdictions.","Under orderly transition scenarios, the portfolio demonstrates adequate resilience. Transition risk losses remain within Pillar 2 capital buffer thresholds. Green loan growth and client engagement on transition plans are expected to progressively reduce high-carbon sector concentration over the medium term."
SCN0021,BANK02,Net Zero 2050,orderly,NGFS_v4,1.5,long_term,2050,8.3,12.6,21.3,4183.0,True,3934.8,342.0,2.26,93.2,high,"All banking book exposures across DE, FR, IT, NL, ES",2024,"NGFS v4 Net Zero 2050 scenario applied to the banking book using a top-down sector-pathway approach. Carbon price assumptions from IEA NZE 2050 trajectory mapped to counterparty NACE sectors. Stranded asset estimates derived from sector-level fossil fuel capex exposure. Analysis scope covers all lending book exposures across DE, FR, IT, NL, ES jurisdictions.","Under orderly transition scenarios, the portfolio demonstrates adequate resilience. Transition risk losses remain within Pillar 2 capital buffer thresholds. Green loan growth and client engagement on transition plans are expected to progressively reduce high-carbon sector concentration over the medium term."
SCN0022,BANK02,Below 2°C,orderly,NGFS_v4,1.8,short_term,2025,5.7,9.2,11.6,2278.1,False,2142.9,107.3,2.29,53.9,high,"All banking book exposures across DE, FR, IT, NL, ES",2024,NGFS v4 Below 2°C (orderly) scenario applied using NGFS IAM outputs aligned to a 1.8°C median temperature pathway. Carbon price trajectory from REMIND-MAgPIE model. Financial impact assessed through loan-level probability of default sensitivity to carbon cost pass-through by sector carbon intensity tier.,"Under orderly transition scenarios, the portfolio demonstrates adequate resilience. Transition risk losses remain within Pillar 2 capital buffer thresholds. Green loan growth and client engagement on transition plans are expected to progressively reduce high-carbon sector concentration over the medium term."
SCN0023,BANK02,Below 2°C,orderly,NGFS_v4,1.8,medium_term,2030,5.5,14.2,26.8,5263.2,False,4950.8,88.2,2.38,60.4,high,"All banking book exposures across DE, FR, IT, NL, ES",2024,NGFS v4 Below 2°C (orderly) scenario applied using NGFS IAM outputs aligned to a 1.8°C median temperature pathway. Carbon price trajectory from REMIND-MAgPIE model. Financial impact assessed through loan-level probability of default sensitivity to carbon cost pass-through by sector carbon intensity tier.,"Under orderly transition scenarios, the portfolio demonstrates adequate resilience. Transition risk losses remain within Pillar 2 capital buffer thresholds. Green loan growth and client engagement on transition plans are expected to progressively reduce high-carbon sector concentration over the medium term."
SCN0024,BANK02,Below 2°C,orderly,NGFS_v4,1.8,long_term,2050,8.6,11.2,19.9,3908.1,False,3676.1,314.9,2.45,81.8,high,"All banking book exposures across DE, FR, IT, NL, ES",2024,NGFS v4 Below 2°C (orderly) scenario applied using NGFS IAM outputs aligned to a 1.8°C median temperature pathway. Carbon price trajectory from REMIND-MAgPIE model. Financial impact assessed through loan-level probability of default sensitivity to carbon cost pass-through by sector carbon intensity tier.,"Under orderly transition scenarios, the portfolio demonstrates adequate resilience. Transition risk losses remain within Pillar 2 capital buffer thresholds. Green loan growth and client engagement on transition plans are expected to progressively reduce high-carbon sector concentration over the medium term."
SCN0025,BANK02,Divergent Net Zero,disorderly,NGFS_v4,1.5,short_term,2025,7.4,16.0,31.6,6205.8,False,5837.5,63.8,1.36,47.3,medium,"All banking book exposures across DE, FR, IT, NL, ES",2024,NGFS v4 Divergent Net Zero scenario used to capture technology pathway uncertainty. High renewable share but with divergent sectoral transition speeds across jurisdictions. Carbon price assumptions vary by country based on national ETS and carbon tax trajectories. Used primarily to stress-test technology transition risk in the automotive and energy manufacturing lending sub-portfolio.,"Under disorderly transition scenarios, near-term resilience is acceptable but medium-term capital consumption from stranded asset impairments is material. The bank's current sector exposure limits and active portfolio decarbonisation glide-path monitoring are the primary resilience mechanisms. Additional capital buffers may be required post-2030 under the most adverse disorderly assumptions."
SCN0026,BANK02,Divergent Net Zero,disorderly,NGFS_v4,1.5,medium_term,2030,8.0,19.6,20.8,4084.8,False,3842.4,50.7,1.13,38.0,medium,"All banking book exposures across DE, FR, IT, NL, ES",2024,NGFS v4 Divergent Net Zero scenario used to capture technology pathway uncertainty. High renewable share but with divergent sectoral transition speeds across jurisdictions. Carbon price assumptions vary by country based on national ETS and carbon tax trajectories. Used primarily to stress-test technology transition risk in the automotive and energy manufacturing lending sub-portfolio.,"Under disorderly transition scenarios, near-term resilience is acceptable but medium-term capital consumption from stranded asset impairments is material. The bank's current sector exposure limits and active portfolio decarbonisation glide-path monitoring are the primary resilience mechanisms. Additional capital buffers may be required post-2030 under the most adverse disorderly assumptions."
SCN0027,BANK02,Divergent Net Zero,disorderly,NGFS_v4,1.5,long_term,2050,15.3,17.1,11.9,2337.0,False,2198.3,69.1,1.03,61.3,medium,"All banking book exposures across DE, FR, IT, NL, ES",2024,NGFS v4 Divergent Net Zero scenario used to capture technology pathway uncertainty. High renewable share but with divergent sectoral transition speeds across jurisdictions. Carbon price assumptions vary by country based on national ETS and carbon tax trajectories. Used primarily to stress-test technology transition risk in the automotive and energy manufacturing lending sub-portfolio.,"Under disorderly transition scenarios, near-term resilience is acceptable but medium-term capital consumption from stranded asset impairments is material. The bank's current sector exposure limits and active portfolio decarbonisation glide-path monitoring are the primary resilience mechanisms. Additional capital buffers may be required post-2030 under the most adverse disorderly assumptions."
SCN0028,BANK02,Delayed Transition,disorderly,NGFS_v4,1.8,short_term,2025,7.0,18.1,6.0,1178.3,False,1108.4,56.3,1.51,36.6,medium,"All banking book exposures across DE, FR, IT, NL, ES",2024,NGFS v4 Delayed Transition (disorderly) scenario applied to capture abrupt policy shift risk post-2030. Short-term physical risk assumed at RCP 2.6 level; transition risk shock applied as a step-change in carbon price in 2030. Particularly material for high-carbon sector exposures with medium-term loan maturities.,"Under disorderly transition scenarios, near-term resilience is acceptable but medium-term capital consumption from stranded asset impairments is material. The bank's current sector exposure limits and active portfolio decarbonisation glide-path monitoring are the primary resilience mechanisms. Additional capital buffers may be required post-2030 under the most adverse disorderly assumptions."
SCN0029,BANK02,Delayed Transition,disorderly,NGFS_v4,1.8,medium_term,2030,9.0,20.5,16.4,3220.7,False,3029.6,72.2,1.17,41.3,medium,"All banking book exposures across DE, FR, IT, NL, ES",2024,NGFS v4 Delayed Transition (disorderly) scenario applied to capture abrupt policy shift risk post-2030. Short-term physical risk assumed at RCP 2.6 level; transition risk shock applied as a step-change in carbon price in 2030. Particularly material for high-carbon sector exposures with medium-term loan maturities.,"Under disorderly transition scenarios, near-term resilience is acceptable but medium-term capital consumption from stranded asset impairments is material. The bank's current sector exposure limits and active portfolio decarbonisation glide-path monitoring are the primary resilience mechanisms. Additional capital buffers may be required post-2030 under the most adverse disorderly assumptions."
SCN0030,BANK02,Delayed Transition,disorderly,NGFS_v4,1.8,long_term,2050,16.7,17.6,5.2,1021.2,False,960.6,63.9,1.07,50.5,medium,"All banking book exposures across DE, FR, IT, NL, ES",2024,NGFS v4 Delayed Transition (disorderly) scenario applied to capture abrupt policy shift risk post-2030. Short-term physical risk assumed at RCP 2.6 level; transition risk shock applied as a step-change in carbon price in 2030. Particularly material for high-carbon sector exposures with medium-term loan maturities.,"Under disorderly transition scenarios, near-term resilience is acceptable but medium-term capital consumption from stranded asset impairments is material. The bank's current sector exposure limits and active portfolio decarbonisation glide-path monitoring are the primary resilience mechanisms. Additional capital buffers may be required post-2030 under the most adverse disorderly assumptions."
SCN0031,BANK02,Nationally Determined Contributions,hot_house,NGFS_v4,2.5,short_term,2025,17.9,4.4,8.4,1649.7,False,1551.7,11.2,1.07,21.8,low,"All banking book exposures across DE, FR, IT, NL, ES",2024,NGFS v4 NDC scenario represents delayed but eventually strengthened policy action. Carbon pricing ramp-up assumed from 2030 onward based on Paris Agreement NDC submission trajectories. Revenue-at-risk computed from sector revenue sensitivity to carbon price at EUR/tCO2e levels specified in the scenario.,"Under hot house world scenarios, physical risk losses represent the dominant long-term resilience challenge. Collateral revaluation risk in flood-exposed mortgage books and agricultural borrower default risk from chronic heat stress are identified as the primary transmission channels. The bank's flood-zone overlay and EPC-based collateral monitoring are resilience mechanisms deployed for the 2050 horizon."
SCN0032,BANK02,Nationally Determined Contributions,hot_house,NGFS_v4,2.5,medium_term,2030,21.1,3.4,5.9,1158.7,False,1089.9,7.3,1.19,22.7,low,"All banking book exposures across DE, FR, IT, NL, ES",2024,NGFS v4 NDC scenario represents delayed but eventually strengthened policy action. Carbon pricing ramp-up assumed from 2030 onward based on Paris Agreement NDC submission trajectories. Revenue-at-risk computed from sector revenue sensitivity to carbon price at EUR/tCO2e levels specified in the scenario.,"Under hot house world scenarios, physical risk losses represent the dominant long-term resilience challenge. Collateral revaluation risk in flood-exposed mortgage books and agricultural borrower default risk from chronic heat stress are identified as the primary transmission channels. The bank's flood-zone overlay and EPC-based collateral monitoring are resilience mechanisms deployed for the 2050 horizon."
SCN0033,BANK02,Nationally Determined Contributions,hot_house,NGFS_v4,2.5,long_term,2050,28.5,3.4,19.8,3888.5,False,3657.7,9.3,1.02,24.9,low,"All banking book exposures across DE, FR, IT, NL, ES",2024,NGFS v4 NDC scenario represents delayed but eventually strengthened policy action. Carbon pricing ramp-up assumed from 2030 onward based on Paris Agreement NDC submission trajectories. Revenue-at-risk computed from sector revenue sensitivity to carbon price at EUR/tCO2e levels specified in the scenario.,"Under hot house world scenarios, physical risk losses represent the dominant long-term resilience challenge. Collateral revaluation risk in flood-exposed mortgage books and agricultural borrower default risk from chronic heat stress are identified as the primary transmission channels. The bank's flood-zone overlay and EPC-based collateral monitoring are resilience mechanisms deployed for the 2050 horizon."
SCN0034,BANK02,Current Policies,hot_house,NGFS_v4,3.0,short_term,2025,17.9,5.0,17.7,3476.0,False,3269.7,10.4,1.12,23.4,low,"All banking book exposures across DE, FR, IT, NL, ES",2024,"NGFS v4 Current Policies (hot house world) scenario used as the adverse baseline. Physical risk parameters sourced from NGFS chronic and acute hazard layers, downscaled to counterparty postcode and collateral location. RCP 8.5 physical risk projections used for 2050 horizon analysis.","Under hot house world scenarios, physical risk losses represent the dominant long-term resilience challenge. Collateral revaluation risk in flood-exposed mortgage books and agricultural borrower default risk from chronic heat stress are identified as the primary transmission channels. The bank's flood-zone overlay and EPC-based collateral monitoring are resilience mechanisms deployed for the 2050 horizon."
SCN0035,BANK02,Current Policies,hot_house,NGFS_v4,3.0,medium_term,2030,20.2,4.5,34.3,6736.1,False,6336.3,9.8,0.56,15.1,low,"All banking book exposures across DE, FR, IT, NL, ES",2024,"NGFS v4 Current Policies (hot house world) scenario used as the adverse baseline. Physical risk parameters sourced from NGFS chronic and acute hazard layers, downscaled to counterparty postcode and collateral location. RCP 8.5 physical risk projections used for 2050 horizon analysis.","Under hot house world scenarios, physical risk losses represent the dominant long-term resilience challenge. Collateral revaluation risk in flood-exposed mortgage books and agricultural borrower default risk from chronic heat stress are identified as the primary transmission channels. The bank's flood-zone overlay and EPC-based collateral monitoring are resilience mechanisms deployed for the 2050 horizon."
SCN0036,BANK02,Current Policies,hot_house,NGFS_v4,3.0,long_term,2050,29.5,4.7,15.5,3044.0,False,2863.3,7.3,0.77,36.2,low,"All banking book exposures across DE, FR, IT, NL, ES",2024,"NGFS v4 Current Policies (hot house world) scenario used as the adverse baseline. Physical risk parameters sourced from NGFS chronic and acute hazard layers, downscaled to counterparty postcode and collateral location. RCP 8.5 physical risk projections used for 2050 horizon analysis.","Under hot house world scenarios, physical risk losses represent the dominant long-term resilience challenge. Collateral revaluation risk in flood-exposed mortgage books and agricultural borrower default risk from chronic heat stress are identified as the primary transmission channels. The bank's flood-zone overlay and EPC-based collateral monitoring are resilience mechanisms deployed for the 2050 horizon."
SCN0037,BANK03,Net Zero 2050,orderly,NGFS_v4,1.5,short_term,2025,4.5,15.1,17.4,4191.4,True,534.0,105.9,2.19,66.4,high,"All banking book exposures across DE, FR, IT, NL, ES",2024,"NGFS v4 Net Zero 2050 scenario applied to the banking book using a top-down sector-pathway approach. Carbon price assumptions from IEA NZE 2050 trajectory mapped to counterparty NACE sectors. Stranded asset estimates derived from sector-level fossil fuel capex exposure. Analysis scope covers all lending book exposures across DE, FR, IT, NL, ES jurisdictions.","Under orderly transition scenarios, the portfolio demonstrates adequate resilience. Transition risk losses remain within Pillar 2 capital buffer thresholds. Green loan growth and client engagement on transition plans are expected to progressively reduce high-carbon sector concentration over the medium term."
SCN0038,BANK03,Net Zero 2050,orderly,NGFS_v4,1.5,medium_term,2030,5.3,10.6,23.0,5540.4,True,705.9,97.3,2.18,62.4,high,"All banking book exposures across DE, FR, IT, NL, ES",2024,"NGFS v4 Net Zero 2050 scenario applied to the banking book using a top-down sector-pathway approach. Carbon price assumptions from IEA NZE 2050 trajectory mapped to counterparty NACE sectors. Stranded asset estimates derived from sector-level fossil fuel capex exposure. Analysis scope covers all lending book exposures across DE, FR, IT, NL, ES jurisdictions.","Under orderly transition scenarios, the portfolio demonstrates adequate resilience. Transition risk losses remain within Pillar 2 capital buffer thresholds. Green loan growth and client engagement on transition plans are expected to progressively reduce high-carbon sector concentration over the medium term."
